horizon,mse,rmse,mae,mape,model
1,0.0016527700936421752,0.04065427556633949,0.02872590348124504,99.3005633354187,naive_persistence
5,0.005719237495213747,0.07562564313411713,0.05551088601350784,99.99991655349731,naive_persistence
20,0.017751701176166534,0.13323551416397095,0.10172243416309357,99.96019005775452,naive_persistence
30,0.022142987698316574,0.14880520105361938,0.12071668356657028,99.99993443489075,naive_persistence
1,0.00560676602296959,0.07487834148116256,0.05476263401478217,1484685.8195255036,seasonal_naive
5,0.00571923760047293,0.0756256411574337,0.05551087834475028,99.99991044400396,seasonal_naive
20,0.0177517006242348,0.13323550812090146,0.10172243172732671,99.9601811450754,seasonal_naive
30,0.022142986960278693,0.1488051980284247,0.12071667950261723,99.99993703430945,seasonal_naive
1,0.001617614826631671,0.04021958262627387,0.030168162507115927,701395.7717114602,linear_ridge
5,0.005626431674161691,0.07500954388717272,0.0611447317479633,247.38804903242607,linear_ridge
20,0.01856963135058849,0.13627043461656857,0.10459591667341893,148824.61406832308,linear_ridge
30,0.020552423823336705,0.14336116567375107,0.10172203160769411,384.8548234281442,linear_ridge
1,0.004599989741521261,0.0678232242047019,0.058161576109234565,4278766.446548386,linear_lasso
5,0.009640611674753937,0.0981866165765678,0.08437459598893754,631.4213027937345,linear_lasso
20,0.023266925444485265,0.15253499744152246,0.11853474199301961,360968.0835922206,linear_lasso
30,0.02507641595591615,0.15835534710238283,0.11355043941891373,604.8314743701022,linear_lasso
1,0.0015594258438795805,0.039489567279815674,0.028144482523202896,181152.08740234375,tsm
5,0.005931655410677195,0.07701724022626877,0.05641213804483414,155.44860363006592,tsm
20,0.017857035622000694,0.13363021612167358,0.10402610152959824,81922.54028320312,tsm
30,0.023914556950330734,0.15464332699775696,0.13105912506580353,451.4798641204834,tsm
1,0.0016527700936421752,0.04065427556633949,0.02872590348124504,99.3005633354187,naive_persistence_llm_subset
5,0.005719237495213747,0.07562564313411713,0.05551088601350784,99.99991655349731,naive_persistence_llm_subset
20,0.017751701176166534,0.13323551416397095,0.10172243416309357,99.96019005775452,naive_persistence_llm_subset
30,0.022142987698316574,0.14880520105361938,0.12071668356657028,99.99993443489075,naive_persistence_llm_subset
1,0.00560676602296959,0.07487834148116256,0.05476263401478217,1484685.8195255036,seasonal_naive_llm_subset
5,0.00571923760047293,0.0756256411574337,0.05551087834475028,99.99991044400396,seasonal_naive_llm_subset
20,0.0177517006242348,0.13323550812090146,0.10172243172732671,99.9601811450754,seasonal_naive_llm_subset
30,0.022142986960278693,0.1488051980284247,0.12071667950261723,99.99993703430945,seasonal_naive_llm_subset
1,0.001617614826631671,0.04021958262627387,0.030168162507115927,701395.7717114602,linear_ridge_llm_subset
5,0.005626431674161691,0.07500954388717272,0.0611447317479633,247.38804903242607,linear_ridge_llm_subset
20,0.01856963135058849,0.13627043461656857,0.10459591667341893,148824.61406832308,linear_ridge_llm_subset
30,0.020552423823336705,0.14336116567375107,0.10172203160769411,384.8548234281442,linear_ridge_llm_subset
1,0.004599989741521261,0.0678232242047019,0.058161576109234565,4278766.446548386,linear_lasso_llm_subset
5,0.009640611674753937,0.0981866165765678,0.08437459598893754,631.4213027937345,linear_lasso_llm_subset
20,0.023266925444485265,0.15253499744152246,0.11853474199301961,360968.0835922206,linear_lasso_llm_subset
30,0.02507641595591615,0.15835534710238283,0.11355043941891373,604.8314743701022,linear_lasso_llm_subset
1,0.0015594258438795805,0.039489567279815674,0.028144482523202896,181152.08740234375,tsm_llm_subset
5,0.005931655410677195,0.07701724022626877,0.05641213804483414,155.44860363006592,tsm_llm_subset
20,0.017857035622000694,0.13363021612167358,0.10402610152959824,81922.54028320312,tsm_llm_subset
30,0.023914556950330734,0.15464332699775696,0.13105912506580353,451.4798641204834,tsm_llm_subset
