horizon,mse,rmse,mae,mape,model
1,0.0009764820570126176,0.03124871291220188,0.02357701025903225,97.94505834579468,naive_persistence
5,0.002680073259398341,0.051769424229860306,0.039557673037052155,99.99987483024597,naive_persistence
20,0.014402680099010468,0.12001116573810577,0.09560229629278183,99.99995827674866,naive_persistence
30,0.020781738683581352,0.1441587209701538,0.1155768632888794,99.99997019767761,naive_persistence
1,0.0026293199699759,0.05127689508907399,0.038970364854215955,14101124.870699054,seasonal_naive
5,0.0026800732324159045,0.05176942372111075,0.03955767079486115,99.99987701248396,seasonal_naive
20,0.01440268072593743,0.12001116917161264,0.09560229493407145,99.9999525983878,seasonal_naive
30,0.02078173851446635,0.1441587268064835,0.11557686084894178,99.99996988895317,seasonal_naive
1,0.0012044034196667238,0.03470451583968178,0.028101444363891077,3498223.92327373,linear_ridge
5,0.008187888126354521,0.0904869500334414,0.07908109962027271,982.9487971533508,linear_ridge
20,0.06435775331683884,0.2536882995268777,0.23011640870275152,916.4984489182173,linear_ridge
30,0.09452741945656355,0.307453117493649,0.2883729910729019,966.9651946903132,linear_ridge
1,0.006509929865325441,0.080684136392016,0.07458230969071505,13205560.928107064,linear_lasso
5,0.018709207526197567,0.13678160521867538,0.12749891197369867,1640.8396830924403,linear_lasso
20,0.08356607249269928,0.28907796957343407,0.2705542872395406,1148.8067953312177,linear_lasso
30,0.11821295295429819,0.3438211060337893,0.32796235814311714,1091.9154059607934,linear_lasso
1,0.0009066041093319654,0.030109867453575134,0.022984666749835014,1599295.41015625,tsm
5,0.002565433271229267,0.05065010488033295,0.038239046931266785,253.03101539611816,tsm
20,0.014960206113755703,0.12231191992759705,0.09824466705322266,240.60745239257812,tsm
30,0.020618882030248642,0.14359275996685028,0.1184934750199318,209.5905065536499,tsm
1,0.0009764820570126176,0.03124871291220188,0.02357701025903225,97.94505834579468,naive_persistence_llm_subset
5,0.002680073259398341,0.051769424229860306,0.039557673037052155,99.99987483024597,naive_persistence_llm_subset
20,0.014402680099010468,0.12001116573810577,0.09560229629278183,99.99995827674866,naive_persistence_llm_subset
30,0.020781738683581352,0.1441587209701538,0.1155768632888794,99.99997019767761,naive_persistence_llm_subset
1,0.0026293199699759,0.05127689508907399,0.038970364854215955,14101124.870699054,seasonal_naive_llm_subset
5,0.0026800732324159045,0.05176942372111075,0.03955767079486115,99.99987701248396,seasonal_naive_llm_subset
20,0.01440268072593743,0.12001116917161264,0.09560229493407145,99.9999525983878,seasonal_naive_llm_subset
30,0.02078173851446635,0.1441587268064835,0.11557686084894178,99.99996988895317,seasonal_naive_llm_subset
1,0.0012044034196667238,0.03470451583968178,0.028101444363891077,3498223.92327373,linear_ridge_llm_subset
5,0.008187888126354521,0.0904869500334414,0.07908109962027271,982.9487971533508,linear_ridge_llm_subset
20,0.06435775331683884,0.2536882995268777,0.23011640870275152,916.4984489182173,linear_ridge_llm_subset
30,0.09452741945656355,0.307453117493649,0.2883729910729019,966.9651946903132,linear_ridge_llm_subset
1,0.006509929865325441,0.080684136392016,0.07458230969071505,13205560.928107064,linear_lasso_llm_subset
5,0.018709207526197567,0.13678160521867538,0.12749891197369867,1640.8396830924403,linear_lasso_llm_subset
20,0.08356607249269928,0.28907796957343407,0.2705542872395406,1148.8067953312177,linear_lasso_llm_subset
30,0.11821295295429819,0.3438211060337893,0.32796235814311714,1091.9154059607934,linear_lasso_llm_subset
1,0.0009066041093319654,0.030109867453575134,0.022984666749835014,1599295.41015625,tsm_llm_subset
5,0.002565433271229267,0.05065010488033295,0.038239046931266785,253.03101539611816,tsm_llm_subset
20,0.014960206113755703,0.12231191992759705,0.09824466705322266,240.60745239257812,tsm_llm_subset
30,0.020618882030248642,0.14359275996685028,0.1184934750199318,209.5905065536499,tsm_llm_subset
