horizon,mse,rmse,mae,mape,noise_level,model
1,0.09826499274521074,0.31347247525932914,0.23981777603314644,0.3343200737414057,0.05,tsm
5,1.7647154948903168,1.3284259463328458,1.0177307338447852,1.415450918461945,0.05,tsm
20,20.002845607218642,4.472454092242719,3.458174699592307,4.7765933276413985,0.05,tsm
30,45.32237999369704,6.732189836427449,5.222314133013416,7.255552077579343,0.05,tsm
1,0.11958663372210246,0.3458130039806231,0.26440794334729567,0.3686780416807907,0.1,tsm
5,1.7732466493706904,1.3316330761026818,1.021739653942027,1.4212542259265246,0.1,tsm
20,20.005819825083243,4.472786583896357,3.4595543537848816,4.778781031768949,0.1,tsm
30,45.2308839395263,6.725390987855375,5.218265723351569,7.250187138856018,0.1,tsm
1,0.20396705579639007,0.45162712030655344,0.34397081893406356,0.4800688863581411,0.2,tsm
5,1.8391143228975384,1.3561394924186592,1.0442581076872384,1.4524186325080914,0.2,tsm
20,20.04836387185673,4.47753993526096,3.4688485015581287,4.791593364946049,0.2,tsm
30,45.08621584061982,6.7146270068128,5.2114708648291,7.241172367350682,0.2,tsm
1,0.3439970102398705,0.5865125831897134,0.4473236027246068,0.6242807136962706,0.3,tsm
5,1.9700558279477698,1.4035867725038484,1.0790070516707257,1.5005836519629998,0.3,tsm
20,20.139702064825514,4.487727940152513,3.4802312849760524,4.807269380706283,0.3,tsm
30,44.99264639866303,6.707655805023319,5.206276228079669,7.234233496311298,0.3,tsm
1,0.9268758406471027,0.9627439122877395,0.7001533735473282,0.9667444526582756,0.05,TSM+LLM-COT-RF
5,2.5443265405078,1.5950945240040793,1.2392663491802263,1.72264648931661,0.05,TSM+LLM-COT-RF
20,16.588011763813757,4.072838293354373,3.20874257818929,4.3793952850539295,0.05,TSM+LLM-COT-RF
30,38.77334082337631,6.226824296812646,4.926886848009423,6.765222316721514,0.05,TSM+LLM-COT-RF
1,0.9488312391491834,0.9740796882951536,0.7098557342851475,0.9802475106330156,0.1,TSM+LLM-COT-RF
5,2.556097686168077,1.5987800618496832,1.243433369105592,1.728992386795752,0.1,TSM+LLM-COT-RF
20,16.596045504261596,4.073824432184283,3.2105945200556216,4.382131887239915,0.1,TSM+LLM-COT-RF
30,38.67652358007767,6.219045230586257,4.918920240044494,6.754260399060458,0.1,TSM+LLM-COT-RF
1,1.0369526158384876,1.0183087036053888,0.7489484101054971,1.0344922351025252,0.2,TSM+LLM-COT-RF
5,2.630219058071303,1.6217950111130885,1.2623438405294798,1.7555059147825791,0.2,TSM+LLM-COT-RF
20,16.65545303164096,4.081109289352708,3.2181613446018353,4.3930727266307885,0.2,TSM+LLM-COT-RF
30,38.520826263459085,6.2065148242358275,4.905855890869983,6.736529547795747,0.2,TSM+LLM-COT-RF
1,1.1840214321079758,1.0881274889037478,0.8034815318528111,1.1108610057446668,0.3,TSM+LLM-COT-RF
5,2.7717792040847637,1.6648661219704015,1.2897143353830618,1.7935796741590397,0.3,TSM+LLM-COT-RF
20,16.772647287665244,4.095442257884397,3.237624109523178,4.420543709037497,0.3,TSM+LLM-COT-RF
30,38.415711840145406,6.198040967930545,4.896000545243043,6.723273658310677,0.3,TSM+LLM-COT-RF
