candidate,window,train_end,val_end,test_end,run_dir,tsm_path_mse,tsm_h20,tsm_h30,llm_path_mse,llm_h20,llm_h30,path_improvement_pct,h20_improvement_pct,h30_improvement_pct
gate_top20,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_000250_03d354,23.734298706054688,28.542165756225582,38.959442138671875,23.793162691610537,28.521385671729504,39.12096149832525,-0.0024801232294608,0.0007280486236944,-0.0041458334818671
gate_top20,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_002140_38080d,19.702138900756836,26.41395568847656,37.03058242797851,19.70555033566715,26.39920814965152,36.95060161683715,-0.0001731504852087,0.0005583237512385,0.0021598583089239
gate_top20,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_003723_9eaac4,70.20631408691406,90.6117935180664,119.53192901611328,69.49201239896755,89.49729561648745,117.98683976692746,0.0101743225981387,0.0122997002741894,0.0129261634268241
gate_top20,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_005435_9b1195,104.78156280517578,131.85379028320312,222.80010986328125,105.46525314395583,133.1609208784471,223.7581685826889,-0.0065249106853966,-0.0099134851750293,-0.0043000818985032
gate_top29,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_011346_49ea4c,23.734298706054688,28.542165756225582,38.959442138671875,23.80141590541585,28.6037900635233,39.07164522173267,-0.002827856857807287,-0.0021590620636162683,-0.002879997168887094
gate_top29,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_013227_e9ff41,19.702138900756836,26.41395568847656,37.03058242797851,19.70555033566715,26.39920814965152,36.95060161683715,-0.00017315048520871734,0.000558323751238543,0.0021598583089239565
gate_top29,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_015311_e2b3a6,70.20631408691406,90.6117935180664,119.53192901611328,69.48133814870098,89.48027748809695,117.89774947221376,0.010326363770010394,0.012487513887956103,0.013671489763034228
gate_top29,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_020830_9f584d,104.78156280517578,131.85379028320312,222.80010986328125,105.46986084328458,133.2402380907159,223.70486558365064,-0.006568885018336523,-0.010515039457985154,-0.004060840548618216
