model,subset,n_samples,mse_path,rmse_path,mae_path,mape_path
naive_persistence,full,146,37.9995231628418,6.164375305175781,5.019227981567383,12.700429558753967
seasonal_naive,full,146,40.744418407665165,6.383135468377995,5.293442940385375,13.368407910697533
linear_ridge,full,146,78.41600005371201,8.855280913314497,7.367261639251012,19.116592103353664
linear_lasso,full,146,115.04892552275223,10.726086216451565,9.22251747950027,24.049524311260377
tsm,full,146,101.38553619384766,10.069038391113281,7.867934703826904,20.15872150659561
naive_persistence_llm_subset,llm_subset,146,37.9995231628418,6.164375305175781,5.019227981567383,12.700429558753967
seasonal_naive_llm_subset,llm_subset,146,40.744418407665165,6.383135468377995,5.293442940385375,13.368407910697533
linear_ridge_llm_subset,llm_subset,146,78.41600005371201,8.855280913314497,7.367261639251012,19.116592103353664
linear_lasso_llm_subset,llm_subset,146,115.04892552275223,10.726086216451565,9.22251747950027,24.049524311260377
tsm_llm_subset,llm_subset,146,101.38553619384766,10.069038391113281,7.867934703826904,20.15872150659561
