horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.21232876712328766,0.0,0.0,1.0,54,61,31,naive_persistence,full,146
5,0.0821917808219178,0.0,0.0,1.0,45,89,12,naive_persistence,full,146
20,0.0136986301369863,0.0,0.0,1.0,53,91,2,naive_persistence,full,146
30,0.0684931506849315,0.0,0.0,1.0,29,107,10,naive_persistence,full,146
1,0.3287671232876712,0.5,0.29508196721311475,0.0967741935483871,54,61,31,seasonal_naive,full,146
5,0.0821917808219178,0.0,0.0,1.0,45,89,12,seasonal_naive,full,146
20,0.0136986301369863,0.0,0.0,1.0,53,91,2,seasonal_naive,full,146
30,0.0684931506849315,0.0,0.0,1.0,29,107,10,seasonal_naive,full,146
1,0.2876712328767123,0.37037037037037035,0.01639344262295082,0.6774193548387096,54,61,31,linear_ridge,full,146
5,0.3219178082191781,0.8444444444444444,0.056179775280898875,0.3333333333333333,45,89,12,linear_ridge,full,146
20,0.3835616438356164,1.0,0.03296703296703297,0.0,53,91,2,linear_ridge,full,146
30,0.2054794520547945,1.0,0.009345794392523364,0.0,29,107,10,linear_ridge,full,146
1,0.3698630136986301,1.0,0.0,0.0,54,61,31,linear_lasso,full,146
5,0.3082191780821918,1.0,0.0,0.0,45,89,12,linear_lasso,full,146
20,0.363013698630137,1.0,0.0,0.0,53,91,2,linear_lasso,full,146
30,0.19863013698630136,1.0,0.0,0.0,29,107,10,linear_lasso,full,146
1,0.363013698630137,0.35185185185185186,0.3442622950819672,0.41935483870967744,54,61,31,tsm,full,146
5,0.410958904109589,0.5111111111111111,0.4044943820224719,0.08333333333333333,45,89,12,tsm,full,146
20,0.3904109589041096,0.8301886792452831,0.14285714285714285,0.0,53,91,2,tsm,full,146
30,0.2465753424657534,0.8275862068965517,0.11214953271028037,0.0,29,107,10,tsm,full,146
1,0.21232876712328766,0.0,0.0,1.0,54,61,31,naive_persistence_llm_subset,llm_subset,146
5,0.0821917808219178,0.0,0.0,1.0,45,89,12,naive_persistence_llm_subset,llm_subset,146
20,0.0136986301369863,0.0,0.0,1.0,53,91,2,naive_persistence_llm_subset,llm_subset,146
30,0.0684931506849315,0.0,0.0,1.0,29,107,10,naive_persistence_llm_subset,llm_subset,146
1,0.3287671232876712,0.5,0.29508196721311475,0.0967741935483871,54,61,31,seasonal_naive_llm_subset,llm_subset,146
5,0.0821917808219178,0.0,0.0,1.0,45,89,12,seasonal_naive_llm_subset,llm_subset,146
20,0.0136986301369863,0.0,0.0,1.0,53,91,2,seasonal_naive_llm_subset,llm_subset,146
30,0.0684931506849315,0.0,0.0,1.0,29,107,10,seasonal_naive_llm_subset,llm_subset,146
1,0.2876712328767123,0.37037037037037035,0.01639344262295082,0.6774193548387096,54,61,31,linear_ridge_llm_subset,llm_subset,146
5,0.3219178082191781,0.8444444444444444,0.056179775280898875,0.3333333333333333,45,89,12,linear_ridge_llm_subset,llm_subset,146
20,0.3835616438356164,1.0,0.03296703296703297,0.0,53,91,2,linear_ridge_llm_subset,llm_subset,146
30,0.2054794520547945,1.0,0.009345794392523364,0.0,29,107,10,linear_ridge_llm_subset,llm_subset,146
1,0.3698630136986301,1.0,0.0,0.0,54,61,31,linear_lasso_llm_subset,llm_subset,146
5,0.3082191780821918,1.0,0.0,0.0,45,89,12,linear_lasso_llm_subset,llm_subset,146
20,0.363013698630137,1.0,0.0,0.0,53,91,2,linear_lasso_llm_subset,llm_subset,146
30,0.19863013698630136,1.0,0.0,0.0,29,107,10,linear_lasso_llm_subset,llm_subset,146
1,0.363013698630137,0.35185185185185186,0.3442622950819672,0.41935483870967744,54,61,31,tsm_llm_subset,llm_subset,146
5,0.410958904109589,0.5111111111111111,0.4044943820224719,0.08333333333333333,45,89,12,tsm_llm_subset,llm_subset,146
20,0.3904109589041096,0.8301886792452831,0.14285714285714285,0.0,53,91,2,tsm_llm_subset,llm_subset,146
30,0.2465753424657534,0.8275862068965517,0.11214953271028037,0.0,29,107,10,tsm_llm_subset,llm_subset,146
