horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
20,0.08638743455497382,0.0,0.0,1.0,226,123,33,seasonal_naive_llm_subset,llm_subset,382
30,0.06282722513089005,0.0,0.0,1.0,229,129,24,seasonal_naive_llm_subset,llm_subset,382
1,0.3036649214659686,0.007518796992481203,0.0,0.9913793103448276,133,133,116,linear_ridge_llm_subset,llm_subset,382
5,0.25654450261780104,0.2655367231638418,0.060810810810810814,0.7368421052631579,177,148,57,linear_ridge_llm_subset,llm_subset,382
20,0.5314136125654451,0.8628318584070797,0.056910569105691054,0.030303030303030304,226,123,33,linear_ridge_llm_subset,llm_subset,382
30,0.5497382198952879,0.8427947598253275,0.09302325581395349,0.20833333333333334,229,129,24,linear_ridge_llm_subset,llm_subset,382
1,0.3481675392670157,0.0,1.0,0.0,133,133,116,linear_lasso_llm_subset,llm_subset,382
5,0.3900523560209424,0.0,1.0,0.017543859649122806,177,148,57,linear_lasso_llm_subset,llm_subset,382
20,0.29581151832460734,0.09292035398230089,0.6829268292682927,0.24242424242424243,226,123,33,linear_lasso_llm_subset,llm_subset,382
30,0.38481675392670156,0.25327510917030566,0.6124031007751938,0.4166666666666667,229,129,24,linear_lasso_llm_subset,llm_subset,382
1,0.8272251308900523,0.8345864661654135,0.8195488721804511,0.8275862068965517,133,133,116,tsm_llm_subset,llm_subset,382
5,0.7382198952879581,0.807909604519774,0.7837837837837838,0.40350877192982454,177,148,57,tsm_llm_subset,llm_subset,382
20,0.5785340314136126,0.6902654867256637,0.4715447154471545,0.21212121212121213,226,123,33,tsm_llm_subset,llm_subset,382
30,0.518324607329843,0.6550218340611353,0.3488372093023256,0.125,229,129,24,tsm_llm_subset,llm_subset,382
