horizon,mse,rmse,mae,mape,model,subset,n_samples
1,1.3909804821014404,1.1793982982635498,0.9476962089538574,1.3287573121488094,naive_persistence,full,382
5,6.439698696136475,2.53765606880188,2.0173559188842773,2.8358805924654007,naive_persistence,full,382
20,26.3935604095459,5.1374664306640625,4.049476623535156,5.564092472195625,naive_persistence,full,382
30,41.33949279785156,6.429579734802246,5.156152248382568,7.071981579065323,naive_persistence,full,382
1,6.531476629659293,2.5556753764238707,2.040235619270365,2.8701802161643353,seasonal_naive,full,382
5,6.439698540405421,2.5376561115339134,2.0173561435719436,2.835880644834984,seasonal_naive,full,382
20,26.39355663302208,5.137465973904068,4.049476433798905,5.564092572683925,seasonal_naive,full,382
30,41.33949050270776,6.429579341038398,5.156152006219195,7.071981364991286,seasonal_naive,full,382
1,1.4054129373366993,1.1855011334185637,0.9538185259434565,1.3368041814482283,linear_ridge,full,382
5,6.650423181142368,2.5788414416443612,2.0476217619411607,2.883034049484134,linear_ridge,full,382
20,26.83539259602263,5.180288852566296,3.988279542373737,5.597419835351246,linear_ridge,full,382
30,39.763347304329415,6.305818527703554,4.96100397759083,6.903187867856836,linear_ridge,full,382
1,5.348455919760149,2.3126728951064717,2.020529112890753,2.7742859795517547,linear_lasso,full,382
5,10.403630702662443,3.225465966749989,2.693185746357703,3.6856207948824355,linear_lasso,full,382
20,28.585285536747424,5.34652088154039,4.473653014417718,6.084615045139991,linear_lasso,full,382
30,39.9920268780372,6.323924958286365,5.217332929840887,7.123470398610468,linear_lasso,full,382
1,0.09085573256015778,0.3014228343963623,0.23268520832061768,0.3240589052438736,tsm,full,382
5,1.7724528312683105,1.3313349485397339,1.0170042514801025,1.4140995219349861,tsm,full,382
20,20.012069702148438,4.473484992980957,3.4580633640289307,4.776187613606453,tsm,full,382
30,45.42665100097656,6.739929676055908,5.227959632873535,7.263163477182388,tsm,full,382
