horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,transaction_cost_bps,offset_count_non_overlap,n_periods,n_trades_non_overlap,trade_rate_non_overlap,mean_return_non_overlap,volatility_non_overlap,sharpe_non_overlap,hit_rate_non_overlap,total_return_non_overlap,annualized_return_non_overlap,max_drawdown_non_overlap,mean_return_non_overlap_cost_adj,volatility_non_overlap_cost_adj,sharpe_non_overlap_cost_adj,total_return_non_overlap_cost_adj,annualized_return_non_overlap_cost_adj,max_drawdown_non_overlap_cost_adj,mean_return_non_overlap_offset_avg,volatility_non_overlap_offset_avg,sharpe_non_overlap_offset_avg,hit_rate_non_overlap_offset_avg,trade_rate_non_overlap_offset_avg,n_trades_non_overlap_offset_avg,total_return_non_overlap_offset_avg,annualized_return_non_overlap_offset_avg,max_drawdown_non_overlap_offset_avg,mean_return_non_overlap_cost_adj_offset_avg,volatility_non_overlap_cost_adj_offset_avg,sharpe_non_overlap_cost_adj_offset_avg,total_return_non_overlap_cost_adj_offset_avg,annualized_return_non_overlap_cost_adj_offset_avg,max_drawdown_non_overlap_cost_adj_offset_avg,total_return_non_overlap_offset_min,total_return_non_overlap_offset_max,total_return_non_overlap_cost_adj_offset_min,total_return_non_overlap_cost_adj_offset_max,model
20,0.0,0.0,,,0.0,0,0.0,20,6,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence_llm_subset
30,0.0,0.0,,,0.0,0,0.0,30,4,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence_llm_subset
1,0.002068416697529226,0.011267088008382421,0.18358041545343193,0.61,0.970873786407767,100,0.0,1,103,100,0.970873786407767,0.0021340171563389103,0.01125235576947299,3.010611540315227,0.61,0.23744271050232957,0.684116354875524,0.056913857035760795,0.0021340171563389103,0.01125235576947299,3.010611540315227,0.23744271050232957,0.684116354875524,0.056913857035760795,0.0021340171563389103,0.01125235576947299,3.010611540315227,0.61,0.970873786407767,100.0,0.23744271050232957,0.684116354875524,0.056913857035760795,0.0021340171563389103,0.01125235576947299,3.010611540315227,0.23744271050232957,0.684116354875524,0.056913857035760795,0.23744271050232957,0.23744271050232957,0.23744271050232957,0.23744271050232957,seasonal_naive_llm_subset
5,0.0012943571641390185,0.02138957771532694,0.06051345105385285,0.5686274509803921,0.9902912621359223,102,0.0,5,21,21,1.0,-0.0010772999872814039,0.019877484237007415,-0.38476052195115273,0.47619047619047616,-0.026460734715894385,-0.06233364357568316,0.08348833442543346,-0.0010772999872814039,0.019877484237007415,-0.38476052195115273,-0.026460734715894385,-0.06233364357568316,0.08348833442543346,0.0015589143914949346,0.021091651830320406,0.5348870325572845,0.5695488721804511,0.99,20.4,0.028008982536930117,0.07549791435290279,0.06658908910222108,0.0015589143914949346,0.021091651830320406,0.5348870325572845,0.028008982536930117,0.07549791435290279,0.06658908910222108,-0.02700904607425947,0.06892619805282996,-0.02700904607425947,0.06892619805282996,seasonal_naive_llm_subset
20,-0.001400925402158817,0.03820528052079285,-0.03666837104877105,0.5,0.9902912621359223,102,0.0,20,6,6,1.0,-0.0006848839325693153,0.04891486790161815,-0.049700569512637474,0.3333333333333333,-0.011064867746606866,-0.023094866404206327,0.11599102963156538,-0.0006848839325693153,0.04891486790161815,-0.049700569512637474,-0.011064867746606866,-0.023094866404206327,0.11599102963156538,-0.000275500732246832,0.03309794994677233,-0.12440115831378781,0.5058333333333334,0.99,5.1,-0.003498558832576487,0.009461494609875009,0.07159732172170363,-0.000275500732246832,0.03309794994677233,-0.12440115831378781,-0.003498558832576487,0.009461494609875009,0.07159732172170363,-0.16415552673058376,0.17399380164006972,-0.16415552673058376,0.17399380164006972,seasonal_naive_llm_subset
30,0.0036155995031258146,0.05581774101168463,0.06477509547312102,0.5490196078431373,0.9902912621359223,102,0.0,30,4,4,1.0,0.0030832824874029267,0.0598206325367832,0.14938326876570532,0.5,0.005216256995178359,0.010985571932094373,0.10874395884954136,0.0030832824874029267,0.0598206325367832,0.14938326876570532,0.005216256995178359,0.010985571932094373,0.10874395884954136,0.004170690262336134,0.040884736849807174,1.1367298461801474,0.5444444444444444,0.9888888888888888,3.4,0.019048101317219266,0.06362881493173339,0.05834363716234488,0.004170690262336134,0.040884736849807174,1.1367298461801474,0.019048101317219266,0.06362881493173339,0.05834363716234488,-0.14508713437162168,0.2503194474324544,-0.14508713437162168,0.2503194474324544,seasonal_naive_llm_subset
1,0.0013098036282632537,0.01160042997523669,0.1129099206718438,0.49514563106796117,1.0,103,0.0,1,103,103,1.0,0.0013781419268604224,0.011643800015601962,1.8788818795951512,0.49514563106796117,0.14443352170334278,0.39106621509697015,0.06653596971187248,0.0013781419268604224,0.011643800015601962,1.8788818795951512,0.14443352170334278,0.39106621509697015,0.06653596971187248,0.0013781419268604224,0.011643800015601962,1.8788818795951512,0.49514563106796117,1.0,103.0,0.14443352170334278,0.39106621509697015,0.06653596971187248,0.0013781419268604224,0.011643800015601962,1.8788818795951512,0.14443352170334278,0.39106621509697015,0.06653596971187248,0.14443352170334278,0.14443352170334278,0.14443352170334278,0.14443352170334278,linear_ridge_llm_subset
5,-0.003989852092328291,0.02143690316780449,-0.18612073120340178,0.4368932038834951,1.0,103,0.0,5,21,21,1.0,-0.0023455705803230153,0.01974603454087693,-0.8433034589110545,0.5238095238095238,-0.05204454654668067,-0.12038823312581848,0.08903945325912277,-0.0023455705803230153,0.01974603454087693,-0.8433034589110545,-0.05204454654668067,-0.12038823312581848,0.08903945325912277,-0.0037575076380345794,0.021205010881406507,-1.2602123801680551,0.4366666666666667,1.0,20.6,-0.07873699151451612,-0.181412526566121,0.11648350730051157,-0.0037575076380345794,0.021205010881406507,-1.2602123801680551,-0.07873699151451612,-0.181412526566121,0.11648350730051157,-0.09644982171261829,-0.05204454654668067,-0.09644982171261829,-0.05204454654668067,linear_ridge_llm_subset
20,0.025802785994087175,0.028486332696663362,0.905795290283522,0.7961165048543689,1.0,103,0.0,20,6,6,1.0,0.04042604673368258,0.029126618551276837,4.926704087618069,1.0,0.26547759844268404,0.6395866348000612,0.0,0.04042604673368258,0.029126618551276837,4.926704087618069,0.26547759844268404,0.6395866348000612,0.0,0.026260078867626567,0.027031574984322303,3.951819820423279,0.7933333333333334,1.0,5.15,0.14352864853581956,0.38681423065646775,0.01556984977278451,0.026260078867626567,0.027031574984322303,3.951819820423279,0.14352864853581956,0.38681423065646775,0.01556984977278451,0.019196907474497094,0.26547759844268404,0.019196907474497094,0.26547759844268404,linear_ridge_llm_subset
30,-0.04368512697960928,0.03598567058708739,-1.2139589527417243,0.1262135922330097,1.0,103,0.0,30,4,4,1.0,-0.03305101052634615,0.04803301837195094,-1.994272530077945,0.25,-0.12995379002270113,-0.25348442862030784,0.17082940059463214,-0.03305101052634615,0.04803301837195094,-1.994272530077945,-0.12995379002270113,-0.25348442862030784,0.17082940059463214,-0.04175730009580137,0.029876571369408782,-6.0052317736942085,0.11944444444444444,1.0,3.433333333333333,-0.1383417519850508,-0.3016030079153161,0.12162586781040832,-0.04175730009580137,0.029876571369408782,-6.0052317736942085,-0.1383417519850508,-0.3016030079153161,0.12162586781040832,-0.19926900283984927,-0.027968953589085466,-0.19926900283984927,-0.027968953589085466,linear_ridge_llm_subset
1,-0.001604005486989231,0.011563421965520843,-0.1387137381799232,0.5242718446601942,1.0,103,0.0,1,103,103,1.0,-0.0015360645322876664,0.01152099743865979,-2.1165067200914183,0.5242718446601942,-0.15228650941862965,-0.33249565723992136,0.16036952657454862,-0.0015360645322876664,0.01152099743865979,-2.1165067200914183,-0.15228650941862965,-0.33249565723992136,0.16036952657454862,-0.0015360645322876664,0.01152099743865979,-2.1165067200914183,0.5242718446601942,1.0,103.0,-0.15228650941862965,-0.33249565723992136,0.16036952657454862,-0.0015360645322876664,0.01152099743865979,-2.1165067200914183,-0.15228650941862965,-0.33249565723992136,0.16036952657454862,-0.15228650941862965,-0.15228650941862965,-0.15228650941862965,-0.15228650941862965,linear_lasso_llm_subset
5,-0.006484501660593505,0.020818524812249373,-0.31147748070882053,0.4174757281553398,1.0,103,0.0,5,21,21,1.0,-0.0072273981221892165,0.0184053385291701,-2.787747512320734,0.42857142857142855,-0.14439862408505566,-0.31221683972913516,0.1400243934247689,-0.0072273981221892165,0.0184053385291701,-2.787747512320734,-0.14439862408505566,-0.31221683972913516,0.1400243934247689,-0.006238282927554054,0.02048397473019933,-2.1827289183421685,0.41714285714285715,1.0,20.6,-0.12493371944296205,-0.27800218209887984,0.14457836367437693,-0.006238282927554054,0.02048397473019933,-2.1827289183421685,-0.12493371944296205,-0.27800218209887984,0.14457836367437693,-0.14439862408505566,-0.10869287692383,-0.14439862408505566,-0.10869287692383,linear_lasso_llm_subset
