horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.25,0.0,0.0,1.0,2,1,1,naive_persistence,full,4
5,0.0,0.0,,,4,0,0,naive_persistence,full,4
20,0.25,,0.0,1.0,0,3,1,naive_persistence,full,4
30,0.0,,0.0,,0,4,0,naive_persistence,full,4
1,0.25,0.5,0.0,0.0,2,1,1,seasonal_naive,full,4
5,0.0,0.0,,,4,0,0,seasonal_naive,full,4
20,0.25,,0.0,1.0,0,3,1,seasonal_naive,full,4
30,0.0,,0.0,,0,4,0,seasonal_naive,full,4
1,0.5,0.5,0.0,1.0,2,1,1,linear_ridge,full,4
5,0.75,0.75,,,4,0,0,linear_ridge,full,4
20,0.5,,0.6666666666666666,0.0,0,3,1,linear_ridge,full,4
30,1.0,,1.0,,0,4,0,linear_ridge,full,4
1,0.5,0.5,0.0,1.0,2,1,1,linear_lasso,full,4
5,0.25,0.25,,,4,0,0,linear_lasso,full,4
20,0.75,,1.0,0.0,0,3,1,linear_lasso,full,4
30,1.0,,1.0,,0,4,0,linear_lasso,full,4
1,0.5,1.0,0.0,0.0,2,1,1,DP,llm_subset,4
5,1.0,1.0,,,4,0,0,DP,llm_subset,4
20,0.0,,0.0,0.0,0,3,1,DP,llm_subset,4
30,0.0,,0.0,,0,4,0,DP,llm_subset,4
1,0.5,0.5,0.0,1.0,2,1,1,CoT,llm_subset,4
5,0.75,0.75,,,4,0,0,CoT,llm_subset,4
20,0.25,,0.0,1.0,0,3,1,CoT,llm_subset,4
30,0.0,,0.0,,0,4,0,CoT,llm_subset,4
1,0.5,0.5,0.0,1.0,2,1,1,CoT-RF,llm_subset,4
5,1.0,1.0,,,4,0,0,CoT-RF,llm_subset,4
20,0.0,,0.0,0.0,0,3,1,CoT-RF,llm_subset,4
30,0.25,,0.25,,0,4,0,CoT-RF,llm_subset,4
1,0.25,0.0,0.0,1.0,2,1,1,naive_persistence_llm_subset,llm_subset,4
5,0.0,0.0,,,4,0,0,naive_persistence_llm_subset,llm_subset,4
20,0.25,,0.0,1.0,0,3,1,naive_persistence_llm_subset,llm_subset,4
30,0.0,,0.0,,0,4,0,naive_persistence_llm_subset,llm_subset,4
1,0.25,0.5,0.0,0.0,2,1,1,seasonal_naive_llm_subset,llm_subset,4
5,0.0,0.0,,,4,0,0,seasonal_naive_llm_subset,llm_subset,4
20,0.25,,0.0,1.0,0,3,1,seasonal_naive_llm_subset,llm_subset,4
30,0.0,,0.0,,0,4,0,seasonal_naive_llm_subset,llm_subset,4
1,0.5,0.5,0.0,1.0,2,1,1,linear_ridge_llm_subset,llm_subset,4
5,0.75,0.75,,,4,0,0,linear_ridge_llm_subset,llm_subset,4
20,0.5,,0.6666666666666666,0.0,0,3,1,linear_ridge_llm_subset,llm_subset,4
30,1.0,,1.0,,0,4,0,linear_ridge_llm_subset,llm_subset,4
1,0.5,0.5,0.0,1.0,2,1,1,linear_lasso_llm_subset,llm_subset,4
5,0.25,0.25,,,4,0,0,linear_lasso_llm_subset,llm_subset,4
20,0.75,,1.0,0.0,0,3,1,linear_lasso_llm_subset,llm_subset,4
30,1.0,,1.0,,0,4,0,linear_lasso_llm_subset,llm_subset,4
