horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,transaction_cost_bps,offset_count_non_overlap,n_periods,n_trades_non_overlap,trade_rate_non_overlap,mean_return_non_overlap,volatility_non_overlap,sharpe_non_overlap,hit_rate_non_overlap,total_return_non_overlap,annualized_return_non_overlap,max_drawdown_non_overlap,mean_return_non_overlap_cost_adj,volatility_non_overlap_cost_adj,sharpe_non_overlap_cost_adj,total_return_non_overlap_cost_adj,annualized_return_non_overlap_cost_adj,max_drawdown_non_overlap_cost_adj,mean_return_non_overlap_offset_avg,volatility_non_overlap_offset_avg,sharpe_non_overlap_offset_avg,hit_rate_non_overlap_offset_avg,trade_rate_non_overlap_offset_avg,n_trades_non_overlap_offset_avg,total_return_non_overlap_offset_avg,annualized_return_non_overlap_offset_avg,max_drawdown_non_overlap_offset_avg,mean_return_non_overlap_cost_adj_offset_avg,volatility_non_overlap_cost_adj_offset_avg,sharpe_non_overlap_cost_adj_offset_avg,total_return_non_overlap_cost_adj_offset_avg,annualized_return_non_overlap_cost_adj_offset_avg,max_drawdown_non_overlap_cost_adj_offset_avg,total_return_non_overlap_offset_min,total_return_non_overlap_offset_max,total_return_non_overlap_cost_adj_offset_min,total_return_non_overlap_cost_adj_offset_max,model
1,0.0,0.0,,,0.0,0,0.0,1,146,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
5,0.0,0.0,,,0.0,0,0.0,5,30,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
20,0.0,0.0,,,0.0,0,0.0,20,8,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
30,0.0,0.0,,,0.0,0,0.0,30,5,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
1,0.013710608788405557,0.07131795531589524,0.19224624048286135,0.4383561643835616,1.0,146,0.0,1,146,146,1.0,0.016485965294276348,0.0768305353783296,3.406283510329377,0.4383561643835616,6.401990000965073,30.660612950667527,0.2706600376397448,0.016485965294276348,0.0768305353783296,3.406283510329377,6.401990000965073,30.660612950667527,0.2706600376397448,0.016485965294276348,0.0768305353783296,3.406283510329377,0.4383561643835616,1.0,146.0,6.401990000965073,30.660612950667527,0.2706600376397448,0.016485965294276348,0.0768305353783296,3.406283510329377,6.401990000965073,30.660612950667527,0.2706600376397448,6.401990000965073,6.401990000965073,6.401990000965073,6.401990000965073,seasonal_naive
5,-0.0066607124770175,0.10420120914219395,-0.06392164286623804,0.5244755244755245,0.9794520547945206,143,0.0,5,30,28,0.9333333333333333,0.031194497036632563,0.10315604686190583,2.1468344963948134,0.5714285714285714,1.163530147407386,2.656568873406554,0.2301331784691535,0.031194497036632563,0.10315604686190583,2.1468344963948134,1.163530147407386,2.656568873406554,0.2301331784691535,-0.0014858261811418882,0.10040593563323427,-0.13298809835847822,0.5248768472906404,0.9797701149425286,28.6,0.04270178604572432,0.33826913008634335,0.48097592545724177,-0.0014858261811418882,0.10040593563323427,-0.13298809835847822,0.04270178604572432,0.33826913008634335,0.48097592545724177,-0.6248003525294639,1.163530147407386,-0.6248003525294639,1.163530147407386,seasonal_naive
20,0.0020215983872544276,0.16959954328520907,0.011919833910488679,0.5524475524475524,0.9794520547945206,143,0.0,20,8,8,1.0,0.09194253483038656,0.15931379598560105,2.0485584496378855,0.625,0.8431677961883335,1.6197791190087796,0.1753826658132056,0.09194253483038656,0.15931379598560105,2.0485584496378855,0.8431677961883335,1.6197791190087796,0.1753826658132056,0.016925277851208193,0.1599921936674562,0.34837627996898607,0.5526785714285714,0.98125,7.15,0.10008088862208098,0.31112747812552494,0.33093297238575803,0.016925277851208193,0.1599921936674562,0.34837627996898607,0.10008088862208098,0.31112747812552494,0.33093297238575803,-0.48733533125002626,1.0734705606175043,-0.48733533125002626,1.0734705606175043,seasonal_naive
30,0.003324379860614873,0.1321544891090463,0.025155254906791588,0.5034965034965035,0.9794520547945206,143,0.0,30,5,5,1.0,0.08755542596713371,0.17637197620397987,1.438775809140366,0.6,0.4307955907060579,0.8254517423439773,0.08151705382051067,0.08755542596713371,0.17637197620397987,1.438775809140366,0.4307955907060579,0.8254517423439773,0.08151705382051067,0.010844078908066013,0.12044990006051637,0.0948663346114387,0.49444444444444446,0.98,4.766666666666667,0.05001222479806248,0.11982365211119642,0.15095773309361954,0.010844078908066013,0.12044990006051637,0.0948663346114387,0.05001222479806248,0.11982365211119642,0.15095773309361954,-0.4281508626961752,0.6745678191288338,-0.4281508626961752,0.6745678191288338,seasonal_naive
1,0.005167856792144299,0.07243980121428152,0.07134001896081205,0.4657534246575342,1.0,146,0.0,1,146,146,1.0,0.00783899087295724,0.07402973682496902,1.6809477868537854,0.4657534246575342,1.1265630642947482,2.6777454376516445,0.32799759318605415,0.00783899087295724,0.07402973682496902,1.6809477868537854,1.1265630642947482,2.6777454376516445,0.32799759318605415,0.00783899087295724,0.07402973682496902,1.6809477868537854,0.4657534246575342,1.0,146.0,1.1265630642947482,2.6777454376516445,0.32799759318605415,0.00783899087295724,0.07402973682496902,1.6809477868537854,1.1265630642947482,2.6777454376516445,0.32799759318605415,1.1265630642947482,1.1265630642947482,1.1265630642947482,1.1265630642947482,linear_ridge
5,-0.010177534843048668,0.10461609840705544,-0.09728459575550642,0.3698630136986301,1.0,146,0.0,5,30,30,1.0,-0.013679060298981626,0.1061174503639126,-0.9151340723971235,0.3333333333333333,-0.44051733955171735,-0.6230519155385251,0.40654724265231135,-0.013679060298981626,0.1061174503639126,-0.9151340723971235,-0.44051733955171735,-0.6230519155385251,0.40654724265231135,-0.004574128824139845,0.10567912281933718,-0.3108747691211636,0.37011494252873567,1.0,29.2,-0.24503398402320622,-0.3716186192820586,0.3357718477692754,-0.004574128824139845,0.10567912281933718,-0.3108747691211636,-0.24503398402320622,-0.3716186192820586,0.3357718477692754,-0.44051733955171735,-0.051948076118089936,-0.44051733955171735,-0.051948076118089936,linear_ridge
20,-0.05111933121942494,0.1631582503299367,-0.31331134721077253,0.3972602739726027,1.0,146,0.0,20,8,8,1.0,-0.04985600395130746,0.16168225558534527,-1.0945620320843625,0.25,-0.4031036889137981,-0.5563497205073331,0.2805488522548564,-0.04985600395130746,0.16168225558534527,-1.0945620320843625,-0.4031036889137981,-0.5563497205073331,0.2805488522548564,-0.037546513127953665,0.15564417964113592,-0.9400163764905155,0.39821428571428574,1.0,7.3,-0.3061491235696255,-0.4650003726160338,0.27995439840382513,-0.037546513127953665,0.15564417964113592,-0.9400163764905155,-0.3061491235696255,-0.4650003726160338,0.27995439840382513,-0.40654736424540805,-0.0904909983383484,-0.40654736424540805,-0.0904909983383484,linear_ridge
30,-0.0794074127724879,0.10754185254060082,-0.7383861342960297,0.2465753424657534,1.0,146,0.0,30,5,5,1.0,-0.1029919903206229,0.10623077648287638,-2.8099121233790885,0.2,-0.44051726035076955,-0.6230518258917666,0.21504595510813085,-0.1029919903206229,0.10623077648287638,-2.8099121233790885,-0.44051726035076955,-0.6230518258917666,0.21504595510813085,-0.0708933023578986,0.09496768222559339,-2.310401949342151,0.2466666666666667,1.0,4.866666666666666,-0.3183961822762781,-0.4822319291618834,0.23528660364108872,-0.0708933023578986,0.09496768222559339,-2.310401949342151,-0.3183961822762781,-0.4822319291618834,0.23528660364108872,-0.44051726035076955,-0.20761781404720925,-0.44051726035076955,-0.20761781404720925,linear_ridge
1,-0.0035700290188773803,0.07253610436598527,-0.04921726980076824,0.4520547945205479,1.0,146,0.0,1,146,146,1.0,-0.0009565681886170246,0.07204669795990781,-0.21076676190471827,0.4520547945205479,-0.4062068405981275,-0.5932869230378348,0.42625547858801804,-0.0009565681886170246,0.07204669795990781,-0.21076676190471827,-0.4062068405981275,-0.5932869230378348,0.42625547858801804,-0.0009565681886170246,0.07204669795990781,-0.21076676190471827,0.4520547945205479,1.0,146.0,-0.4062068405981275,-0.5932869230378348,0.42625547858801804,-0.0009565681886170246,0.07204669795990781,-0.21076676190471827,-0.4062068405981275,-0.5932869230378348,0.42625547858801804,-0.4062068405981275,-0.4062068405981275,-0.4062068405981275,-0.4062068405981275,linear_lasso
5,-0.017143264212741274,0.10370254940708218,-0.16531188780562905,0.3424657534246575,1.0,146,0.0,5,30,30,1.0,-0.013679060298981626,0.1061174503639126,-0.9151340723971235,0.3333333333333333,-0.44051733955171735,-0.6230519155385251,0.40654724265231135,-0.013679060298981626,0.1061174503639126,-0.9151340723971235,-0.44051733955171735,-0.6230519155385251,0.40654724265231135,-0.011615618898366743,0.10449499559353634,-0.7926446400797199,0.3425287356321839,1.0,29.2,-0.3931138646902366,-0.5770726065272502,0.3747422773593844,-0.011615618898366743,0.10449499559353634,-0.7926446400797199,-0.3931138646902366,-0.5770726065272502,0.3747422773593844,-0.44051733955171735,-0.360447225639684,-0.44051733955171735,-0.360447225639684,linear_lasso
20,-0.05837974462607135,0.16070347255875417,-0.3632761862362829,0.3698630136986301,1.0,146,0.0,20,8,8,1.0,-0.04985600395130746,0.16168225558534527,-1.0945620320843625,0.25,-0.4031036889137981,-0.5563497205073331,0.2805488522548564,-0.04985600395130746,0.16168225558534527,-1.0945620320843625,-0.4031036889137981,-0.5563497205073331,0.2805488522548564,-0.04438074231076061,0.15452675139529387,-1.0780559450589728,0.3723214285714286,1.0,7.3,-0.34631870032720297,-0.5198745240910174,0.29406604450012475,-0.04438074231076061,0.15452675139529387,-1.0780559450589728,-0.34631870032720297,-0.5198745240910174,0.29406604450012475,-0.40654736424540805,-0.2936002374178218,-0.40654736424540805,-0.2936002374178218,linear_lasso
30,-0.0794074127724879,0.10754185254060082,-0.7383861342960297,0.2465753424657534,1.0,146,0.0,30,5,5,1.0,-0.1029919903206229,0.10623077648287638,-2.8099121233790885,0.2,-0.44051726035076955,-0.6230518258917666,0.21504595510813085,-0.1029919903206229,0.10623077648287638,-2.8099121233790885,-0.44051726035076955,-0.6230518258917666,0.21504595510813085,-0.0708933023578986,0.09496768222559339,-2.310401949342151,0.2466666666666667,1.0,4.866666666666666,-0.3183961822762781,-0.4822319291618834,0.23528660364108872,-0.0708933023578986,0.09496768222559339,-2.310401949342151,-0.3183961822762781,-0.4822319291618834,0.23528660364108872,-0.44051726035076955,-0.20761781404720925,-0.44051726035076955,-0.20761781404720925,linear_lasso
1,-0.004859925794322682,0.07246111139820043,-0.06706943490854846,0.4863013698630137,1.0,146,0.0,1,146,146,1.0,-0.002262528274365993,0.0713376111900619,-0.5034724641067143,0.4863013698630137,-0.5081341026335383,-0.7061545411950492,0.5757506975884126,-0.002262528274365993,0.0713376111900619,-0.5034724641067143,-0.5081341026335383,-0.7061545411950492,0.5757506975884126,-0.002262528274365993,0.0713376111900619,-0.5034724641067143,0.4863013698630137,1.0,146.0,-0.5081341026335383,-0.7061545411950492,0.5757506975884126,-0.002262528274365993,0.0713376111900619,-0.5034724641067143,-0.5081341026335383,-0.7061545411950492,0.5757506975884126,-0.5081341026335383,-0.5081341026335383,-0.5081341026335383,-0.5081341026335383,tsm
5,0.0032330285207598074,0.10506025789031802,0.030773087613539467,0.5273972602739726,1.0,146,0.0,5,30,30,1.0,0.0548872262040502,0.09841041545294721,3.9595468565189016,0.7333333333333333,3.3493791592936137,10.818376252948745,0.17588059959960245,0.0548872262040502,0.09841041545294721,3.9595468565189016,3.3493791592936137,10.818376252948745,0.17588059959960245,0.008459215220933507,0.09924508507353183,0.5217729663739097,0.5259770114942528,1.0,29.2,0.7287182593443529,2.5657379404445444,0.3976960937511815,0.008459215220933507,0.09924508507353183,0.5217729663739097,0.7287182593443529,2.5657379404445444,0.3976960937511815,-0.795751858445962,3.3493791592936137,-0.795751858445962,3.3493791592936137,tsm
20,-0.013572518522404644,0.17043939514093137,-0.07963251988298788,0.5273972602739726,1.0,146,0.0,20,8,8,1.0,0.008050809869923955,0.17723013596843915,0.16124537708705827,0.375,-0.05495288145616006,-0.0851725169936457,0.3832740769184435,0.008050809869923955,0.17723013596843915,0.16124537708705827,-0.05495288145616006,-0.0851725169936457,0.3832740769184435,-0.00020021600164519746,0.1619678191670772,-0.11202969482475407,0.5267857142857142,1.0,7.3,-0.06340155451108949,-0.07582867960864266,0.26131213731531155,-0.00020021600164519746,0.1619678191670772,-0.11202969482475407,-0.06340155451108949,-0.07582867960864266,0.26131213731531155,-0.3714324124971786,0.4041234765574022,-0.3714324124971786,0.4041234765574022,tsm
30,-0.034905208003617925,0.12904423158478948,-0.27049026194311676,0.3904109589041096,1.0,146,0.0,30,5,5,1.0,0.12160920524043646,0.15566181196915244,2.2642480986834106,0.8,0.6960372995139927,1.4291339873027447,0.06168372471505068,0.12160920524043646,0.15566181196915244,2.2642480986834106,0.6960372995139927,1.4291339873027447,0.06168372471505068,-0.026530882888678626,0.10955392152822971,-0.815923413697615,0.3883333333333333,1.0,4.866666666666666,-0.11995045294709872,-0.1543699120353174,0.16388207241546185,-0.026530882888678626,0.10955392152822971,-0.815923413697615,-0.11995045294709872,-0.1543699120353174,0.16388207241546185,-0.397709274662041,0.6960372995139927,-0.397709274662041,0.6960372995139927,tsm
1,-0.004859925794322682,0.07246111139820043,-0.06706943490854846,0.4863013698630137,1.0,146,0.0,1,146,146,1.0,-0.002262528274365993,0.0713376111900619,-0.5034724641067143,0.4863013698630137,-0.5081341026335383,-0.7061545411950492,0.5757506975884126,-0.002262528274365993,0.0713376111900619,-0.5034724641067143,-0.5081341026335383,-0.7061545411950492,0.5757506975884126,-0.002262528274365993,0.0713376111900619,-0.5034724641067143,0.4863013698630137,1.0,146.0,-0.5081341026335383,-0.7061545411950492,0.5757506975884126,-0.002262528274365993,0.0713376111900619,-0.5034724641067143,-0.5081341026335383,-0.7061545411950492,0.5757506975884126,-0.5081341026335383,-0.5081341026335383,-0.5081341026335383,-0.5081341026335383,TSM+LLM-COT-RF-HDELTA
5,0.004664260864557622,0.10500645185884308,0.04441880267345518,0.5342465753424658,1.0,146,0.0,5,30,30,1.0,0.0548872262040502,0.09841041545294721,3.9595468565189016,0.7333333333333333,3.3493791592936137,10.818376252948745,0.17588059959960245,0.0548872262040502,0.09841041545294721,3.9595468565189016,3.3493791592936137,10.818376252948745,0.17588059959960245,0.009902941425532202,0.0992714910448567,0.61482373821089,0.5328735632183907,1.0,29.2,0.7676438385102904,2.630081904863406,0.3976960937511815,0.009902941425532202,0.0992714910448567,0.61482373821089,0.7676438385102904,2.630081904863406,0.3976960937511815,-0.795751858445962,3.3493791592936137,-0.795751858445962,3.3493791592936137,TSM+LLM-COT-RF-HDELTA
