horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,transaction_cost_bps,offset_count_non_overlap,n_periods,n_trades_non_overlap,trade_rate_non_overlap,mean_return_non_overlap,volatility_non_overlap,sharpe_non_overlap,hit_rate_non_overlap,total_return_non_overlap,annualized_return_non_overlap,max_drawdown_non_overlap,mean_return_non_overlap_cost_adj,volatility_non_overlap_cost_adj,sharpe_non_overlap_cost_adj,total_return_non_overlap_cost_adj,annualized_return_non_overlap_cost_adj,max_drawdown_non_overlap_cost_adj,mean_return_non_overlap_offset_avg,volatility_non_overlap_offset_avg,sharpe_non_overlap_offset_avg,hit_rate_non_overlap_offset_avg,trade_rate_non_overlap_offset_avg,n_trades_non_overlap_offset_avg,total_return_non_overlap_offset_avg,annualized_return_non_overlap_offset_avg,max_drawdown_non_overlap_offset_avg,mean_return_non_overlap_cost_adj_offset_avg,volatility_non_overlap_cost_adj_offset_avg,sharpe_non_overlap_cost_adj_offset_avg,total_return_non_overlap_cost_adj_offset_avg,annualized_return_non_overlap_cost_adj_offset_avg,max_drawdown_non_overlap_cost_adj_offset_avg,total_return_non_overlap_offset_min,total_return_non_overlap_offset_max,total_return_non_overlap_cost_adj_offset_min,total_return_non_overlap_cost_adj_offset_max,model
1,0.0,0.0,,,0.0,0,0.0,1,146,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
5,0.0,0.0,,,0.0,0,0.0,5,30,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
20,0.0,0.0,,,0.0,0,0.0,20,8,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
30,0.0,0.0,,,0.0,0,0.0,30,5,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
1,0.00589968075117412,0.03068673594602661,0.1922550759895343,0.5753424657534246,1.0,146,0.0,1,146,146,1.0,0.006387893120505111,0.030608439451622192,3.312964052001906,0.5753424657534246,1.3663611362149717,3.422563694383089,0.20225191043045965,0.006387893120505111,0.030608439451622192,3.312964052001906,1.3663611362149717,3.422563694383089,0.20225191043045965,0.006387893120505111,0.030608439451622192,3.312964052001906,0.5753424657534246,1.0,146.0,1.3663611362149717,3.422563694383089,0.20225191043045965,0.006387893120505111,0.030608439451622192,3.312964052001906,1.3663611362149717,3.422563694383089,0.20225191043045965,1.3663611362149717,1.3663611362149717,1.3663611362149717,1.3663611362149717,seasonal_naive
5,0.004128635832274409,0.050561177309388555,0.08165624401921857,0.5416666666666666,0.9863013698630136,144,0.0,5,30,29,0.9666666666666667,0.01318030469510337,0.05296474884878653,1.7666633563636085,0.6551724137931034,0.4201792085068816,0.8027541020716515,0.16250826697421705,0.01318030469510337,0.05296474884878653,1.7666633563636085,0.4201792085068816,0.8027541020716515,0.16250826697421705,0.005372552838387812,0.05089431853534086,0.7426541650955827,0.5416256157635468,0.9864367816091955,28.8,0.13956447513755524,0.2642264496894473,0.19305827256666913,0.005372552838387812,0.05089431853534086,0.7426541650955827,0.13956447513755524,0.2642264496894473,0.19305827256666913,-0.03978604464068103,0.4201792085068816,-0.03978604464068103,0.4201792085068816,seasonal_naive
20,0.023239937323872764,0.11680925203064142,0.19895630628450955,0.5416666666666666,0.9863013698630136,144,0.0,20,8,8,1.0,0.008331147892784035,0.12669790064692493,0.23341066600242294,0.375,0.0030718274692034253,0.004842399201510306,0.18690013490008195,0.008331147892784035,0.12669790064692493,0.23341066600242294,0.0030718274692034253,0.004842399201510306,0.18690013490008195,0.031399609337407,0.11302191749868476,0.9740798411064535,0.5425595238095238,0.9857142857142858,7.2,0.22244796356790797,0.4901063629286426,0.17792951566035614,0.031399609337407,0.11302191749868476,0.9740798411064535,0.22244796356790797,0.4901063629286426,0.17792951566035614,-0.27861529602199797,0.7331709268351552,-0.27861529602199797,0.7331709268351552,seasonal_naive
30,0.013085000456170472,0.1432939232150986,0.09131580853242863,0.5347222222222222,0.9863013698630136,144,0.0,30,5,5,1.0,0.019765504938559164,0.132815983676339,0.4313176331868795,0.4,0.05763097001219841,0.09870572631115015,0.1476569033377294,0.019765504938559164,0.132815983676339,0.4313176331868795,0.05763097001219841,0.09870572631115015,0.1476569033377294,0.02431064759451746,0.12321616269392904,0.41883881678443735,0.5316666666666667,0.9866666666666667,4.8,0.13536362006987665,0.34730765069647784,0.18242562099958803,0.02431064759451746,0.12321616269392904,0.41883881678443735,0.13536362006987665,0.34730765069647784,0.18242562099958803,-0.44271936107731,0.9351007787822416,-0.44271936107731,0.9351007787822416,seasonal_naive
1,0.0014616191437609863,0.031214510495369423,0.0468249900628047,0.5,1.0,146,0.0,1,146,146,1.0,0.001953240905797694,0.0315345010469906,0.9832639520070816,0.5,0.23787524154629214,0.4453160599088848,0.23518533392216645,0.001953240905797694,0.0315345010469906,0.9832639520070816,0.23787524154629214,0.4453160599088848,0.23518533392216645,0.001953240905797694,0.0315345010469906,0.9832639520070816,0.5,1.0,146.0,0.23787524154629214,0.4453160599088848,0.23518533392216645,0.001953240905797694,0.0315345010469906,0.9832639520070816,0.23787524154629214,0.4453160599088848,0.23518533392216645,0.23787524154629214,0.23787524154629214,0.23787524154629214,0.23787524154629214,linear_ridge
5,0.0048201251105239535,0.051544540218482905,0.09351378613705331,0.547945205479452,1.0,146,0.0,5,30,30,1.0,0.00784313055118665,0.05810826743926282,0.9582234295025805,0.5666666666666667,0.2026566346890737,0.3634461015626509,0.21283370468958374,0.00784313055118665,0.05810826743926282,0.9582234295025805,0.2026566346890737,0.3634461015626509,0.21283370468958374,0.006160338387329716,0.05201972340448955,0.8395648642716186,0.5478160919540229,1.0,29.2,0.15192994528906043,0.27685372595319374,0.21355695402206437,0.006160338387329716,0.05201972340448955,0.8395648642716186,0.15192994528906043,0.27685372595319374,0.21355695402206437,0.08747164503144789,0.2026566346890737,0.08747164503144789,0.2026566346890737,linear_ridge
20,0.009656176385661103,0.11962206729339889,0.08072236673503769,0.5068493150684932,1.0,146,0.0,20,8,8,1.0,0.020364332687077116,0.1270639689275404,0.5688962083737598,0.5,0.10379960318595138,0.1682939236711456,0.2433290887979943,0.020364332687077116,0.1270639689275404,0.5688962083737598,0.10379960318595138,0.1682939236711456,0.2433290887979943,0.017095060774982226,0.1234687732311753,0.503601803896878,0.5071428571428571,1.0,7.3,0.07445035918172081,0.1347380440911894,0.1984213520903598,0.017095060774982226,0.1234687732311753,0.503601803896878,0.07445035918172081,0.1347380440911894,0.1984213520903598,-0.023763826234925456,0.19433672284465664,-0.023763826234925456,0.19433672284465664,linear_ridge
30,0.01662448535622289,0.14319694480367623,0.11609525174587451,0.5136986301369864,1.0,146,0.0,30,5,5,1.0,0.045248950018430614,0.12110627697651942,1.0828828999733964,0.8,0.20265694606614737,0.3634466946139694,0.17838192310710688,0.045248950018430614,0.12110627697651942,1.0828828999733964,0.20265694606614737,0.3634466946139694,0.17838192310710688,0.0280151318563094,0.14900976917734896,0.5507613785844794,0.52,1.0,4.866666666666666,0.08555696939431388,0.16076860248007604,0.18475645048572667,0.0280151318563094,0.14900976917734896,0.5507613785844794,0.08555696939431388,0.16076860248007604,0.18475645048572667,-0.024303923397593907,0.20265694606614737,-0.024303923397593907,0.20265694606614737,linear_ridge
1,0.0014616191437609863,0.031214510495369423,0.0468249900628047,0.5,1.0,146,0.0,1,146,146,1.0,0.001953240905797694,0.0315345010469906,0.9832639520070816,0.5,0.23787524154629214,0.4453160599088848,0.23518533392216645,0.001953240905797694,0.0315345010469906,0.9832639520070816,0.23787524154629214,0.4453160599088848,0.23518533392216645,0.001953240905797694,0.0315345010469906,0.9832639520070816,0.5,1.0,146.0,0.23787524154629214,0.4453160599088848,0.23518533392216645,0.001953240905797694,0.0315345010469906,0.9832639520070816,0.23787524154629214,0.4453160599088848,0.23518533392216645,0.23787524154629214,0.23787524154629214,0.23787524154629214,0.23787524154629214,linear_lasso
5,0.0048201251105239535,0.051544540218482905,0.09351378613705331,0.547945205479452,1.0,146,0.0,5,30,30,1.0,0.00784313055118665,0.05810826743926282,0.9582234295025805,0.5666666666666667,0.2026566346890737,0.3634461015626509,0.21283370468958374,0.00784313055118665,0.05810826743926282,0.9582234295025805,0.2026566346890737,0.3634461015626509,0.21283370468958374,0.006160338387329716,0.05201972340448955,0.8395648642716186,0.5478160919540229,1.0,29.2,0.15192994528906043,0.27685372595319374,0.21355695402206437,0.006160338387329716,0.05201972340448955,0.8395648642716186,0.15192994528906043,0.27685372595319374,0.21355695402206437,0.08747164503144789,0.2026566346890737,0.08747164503144789,0.2026566346890737,linear_lasso
20,0.009656176385661103,0.11962206729339889,0.08072236673503769,0.5068493150684932,1.0,146,0.0,20,8,8,1.0,0.020364332687077116,0.1270639689275404,0.5688962083737598,0.5,0.10379960318595138,0.1682939236711456,0.2433290887979943,0.020364332687077116,0.1270639689275404,0.5688962083737598,0.10379960318595138,0.1682939236711456,0.2433290887979943,0.017095060774982226,0.1234687732311753,0.503601803896878,0.5071428571428571,1.0,7.3,0.07445035918172081,0.1347380440911894,0.1984213520903598,0.017095060774982226,0.1234687732311753,0.503601803896878,0.07445035918172081,0.1347380440911894,0.1984213520903598,-0.023763826234925456,0.19433672284465664,-0.023763826234925456,0.19433672284465664,linear_lasso
30,0.01662448535622289,0.14319694480367623,0.11609525174587451,0.5136986301369864,1.0,146,0.0,30,5,5,1.0,0.045248950018430614,0.12110627697651942,1.0828828999733964,0.8,0.20265694606614737,0.3634466946139694,0.17838192310710688,0.045248950018430614,0.12110627697651942,1.0828828999733964,0.20265694606614737,0.3634466946139694,0.17838192310710688,0.0280151318563094,0.14900976917734896,0.5507613785844794,0.52,1.0,4.866666666666666,0.08555696939431388,0.16076860248007604,0.18475645048572667,0.0280151318563094,0.14900976917734896,0.5507613785844794,0.08555696939431388,0.16076860248007604,0.18475645048572667,-0.024303923397593907,0.20265694606614737,-0.024303923397593907,0.20265694606614737,linear_lasso
1,0.005755964079843866,0.03071401754083115,0.18740511794628947,0.5684931506849316,1.0,146,0.0,1,146,146,1.0,0.006248727816715668,0.031081313704429837,3.19148282549041,0.5684931506849316,1.317225942165194,3.2652591798846933,0.1821969400914959,0.006248727816715668,0.031081313704429837,3.19148282549041,1.317225942165194,3.2652591798846933,0.1821969400914959,0.006248727816715668,0.031081313704429837,3.19148282549041,0.5684931506849316,1.0,146.0,1.317225942165194,3.2652591798846933,0.1821969400914959,0.006248727816715668,0.031081313704429837,3.19148282549041,1.317225942165194,3.2652591798846933,0.1821969400914959,1.317225942165194,1.317225942165194,1.317225942165194,1.317225942165194,tsm
5,0.013881814611871561,0.04987352459469388,0.27834035642526994,0.636986301369863,1.0,146,0.0,5,30,30,1.0,0.031173938118446046,0.050753654100703365,4.360533443275713,0.8,1.420343862961424,3.414824865952662,0.1018936493279815,0.031173938118446046,0.050753654100703365,4.360533443275713,1.420343862961424,3.414824865952662,0.1018936493279815,0.01513522246602073,0.05017283124274034,2.133220657267586,0.6358620689655172,1.0,29.2,0.5558836138557831,1.2248884218886187,0.12861399325206127,0.01513522246602073,0.05017283124274034,2.133220657267586,0.5558836138557831,1.2248884218886187,0.12861399325206127,0.18134045032098012,1.420343862961424,0.18134045032098012,1.420343862961424,tsm
20,0.020658532763537886,0.11821973502759717,0.17474690464088222,0.589041095890411,1.0,146,0.0,20,8,8,1.0,0.023010689101139077,0.1266126492563104,0.6451159819467469,0.625,0.1274166538752839,0.20790562066007978,0.24332908879799442,0.023010689101139077,0.1266126492563104,0.6451159819467469,0.1274166538752839,0.20790562066007978,0.24332908879799442,0.027748798692531447,0.11906538745694359,0.7805271600685002,0.5901785714285713,1.0,7.3,0.17988452062015992,0.3473964458748519,0.16896167616971194,0.027748798692531447,0.11906538745694359,0.7805271600685002,0.17988452062015992,0.3473964458748519,0.16896167616971194,-0.30380579991459866,0.5941614749079585,-0.30380579991459866,0.5941614749079585,tsm
30,0.01860500647278171,0.1429531120634109,0.13014761416686704,0.5342465753424658,1.0,146,0.0,30,5,5,1.0,0.045248950018430614,0.12110627697651942,1.0828828999733964,0.8,0.20265694606614737,0.3634466946139694,0.17838192310710688,0.045248950018430614,0.12110627697651942,1.0828828999733964,0.20265694606614737,0.3634466946139694,0.17838192310710688,0.02999772173958399,0.13236854919223812,0.4618135871691663,0.5399999999999999,1.0,4.866666666666666,0.14360096172402298,0.34004280352864463,0.18309829228595711,0.02999772173958399,0.13236854919223812,0.4618135871691663,0.14360096172402298,0.34004280352864463,0.18309829228595711,-0.3831009269263608,0.8728122934075668,-0.3831009269263608,0.8728122934075668,tsm
1,0.0032123280116014043,0.030913215744444722,0.1039143917655567,0.5448275862068965,0.9931506849315068,145,0.0,1,146,145,0.9931506849315068,0.0036990688020460947,0.031246417361220927,1.8792841469648414,0.5448275862068965,0.5983948224417779,1.2467992748396006,0.21546913110110288,0.0036990688020460947,0.031246417361220927,1.8792841469648414,0.5983948224417779,1.2467992748396006,0.21546913110110288,0.0036990688020460947,0.031246417361220927,1.8792841469648414,0.5448275862068965,0.9931506849315068,145.0,0.5983948224417779,1.2467992748396006,0.21546913110110288,0.0036990688020460947,0.031246417361220927,1.8792841469648414,0.5983948224417779,1.2467992748396006,0.21546913110110288,0.5983948224417779,0.5983948224417779,0.5983948224417779,0.5983948224417779,TSM+LLM-COT-SENT-RF
5,0.0034511002794877714,0.0516542654509463,0.06681152561863693,0.5342465753424658,1.0,146,0.0,5,30,30,1.0,0.017349666456997585,0.05666856426685471,2.1735227415274396,0.6333333333333333,0.5989679803004939,1.2001424908249279,0.11936341663559413,0.017349666456997585,0.05666856426685471,2.1735227415274396,0.5989679803004939,1.2001424908249279,0.11936341663559413,0.004721973539272197,0.05215343225240111,0.6086989232558475,0.5335632183908047,1.0,29.2,0.12704297222130873,0.25308356400465454,0.19045698601417668,0.004721973539272197,0.05215343225240111,0.6086989232558475,0.12704297222130873,0.25308356400465454,0.19045698601417668,-0.027032223774561603,0.5989679803004939,-0.027032223774561603,0.5989679803004939,TSM+LLM-COT-SENT-RF
20,0.0014000923168679623,0.12000300191012599,0.011667144109582655,0.5547945205479452,1.0,146,0.0,20,8,8,1.0,-0.009799647684107751,0.1261011484939031,-0.27585235299384403,0.5,-0.1322104902136806,-0.20016082119144196,0.24332908879799442,-0.009799647684107751,0.1261011484939031,-0.27585235299384403,-0.1322104902136806,-0.20016082119144196,0.24332908879799442,0.007611918515547526,0.11072930147871077,0.1082201588092778,0.5535714285714286,1.0,7.3,0.06596925324856377,0.18451359848527366,0.23442189135850375,0.007611918515547526,0.11072930147871077,0.1082201588092778,0.06596925324856377,0.18451359848527366,0.23442189135850375,-0.3739631463076796,0.7979881445709536,-0.3739631463076796,0.7979881445709536,TSM+LLM-COT-SENT-RF
