horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,transaction_cost_bps,offset_count_non_overlap,n_periods,n_trades_non_overlap,trade_rate_non_overlap,mean_return_non_overlap,volatility_non_overlap,sharpe_non_overlap,hit_rate_non_overlap,total_return_non_overlap,annualized_return_non_overlap,max_drawdown_non_overlap,mean_return_non_overlap_cost_adj,volatility_non_overlap_cost_adj,sharpe_non_overlap_cost_adj,total_return_non_overlap_cost_adj,annualized_return_non_overlap_cost_adj,max_drawdown_non_overlap_cost_adj,mean_return_non_overlap_offset_avg,volatility_non_overlap_offset_avg,sharpe_non_overlap_offset_avg,hit_rate_non_overlap_offset_avg,trade_rate_non_overlap_offset_avg,n_trades_non_overlap_offset_avg,total_return_non_overlap_offset_avg,annualized_return_non_overlap_offset_avg,max_drawdown_non_overlap_offset_avg,mean_return_non_overlap_cost_adj_offset_avg,volatility_non_overlap_cost_adj_offset_avg,sharpe_non_overlap_cost_adj_offset_avg,total_return_non_overlap_cost_adj_offset_avg,annualized_return_non_overlap_cost_adj_offset_avg,max_drawdown_non_overlap_cost_adj_offset_avg,total_return_non_overlap_offset_min,total_return_non_overlap_offset_max,total_return_non_overlap_cost_adj_offset_min,total_return_non_overlap_cost_adj_offset_max,model
1,0.0,0.0,,,0.0,0,10.0,1,103,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
5,0.0,0.0,,,0.0,0,10.0,5,21,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
20,0.0,0.0,,,0.0,0,10.0,20,6,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
30,0.0,0.0,,,0.0,0,10.0,30,4,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
1,0.002068416697529226,0.011267088008382421,0.18358041545343193,0.61,0.970873786407767,100,10.0,1,103,100,0.970873786407767,0.0021340171563389103,0.01125235576947299,3.010611540315227,0.61,0.23744271050232957,0.684116354875524,0.056913857035760795,0.00018897455701428724,0.011223849769004618,0.2672771066621687,0.013031026499604303,0.03218281326161132,0.12159845972971906,0.0021340171563389103,0.01125235576947299,3.010611540315227,0.61,0.970873786407767,100.0,0.23744271050232957,0.684116354875524,0.056913857035760795,0.00018897455701428724,0.011223849769004618,0.2672771066621687,0.013031026499604303,0.03218281326161132,0.12159845972971906,0.23744271050232957,0.23744271050232957,0.013031026499604303,0.013031026499604303,seasonal_naive
5,0.0012943571641390185,0.02138957771532694,0.06051345105385285,0.5686274509803921,0.9902912621359223,102,10.0,5,21,21,1.0,-0.0010772999872814039,0.019877484237007415,-0.38476052195115273,0.47619047619047616,-0.026460734715894385,-0.06233364357568316,0.08348833442543346,-0.003074146464606792,0.019837749146017655,-1.1001386668828814,-0.06652223463600937,-0.15228562651789168,0.10798146902803585,0.0015589143914949346,0.021091651830320406,0.5348870325572845,0.5695488721804511,0.99,20.4,0.028008982536930117,0.07549791435290279,0.06658908910222108,-0.00042321187837362497,0.021047083103570487,-0.1402935892091017,-0.013066722759213879,-0.026612908911630262,0.07792381386688932,-0.02700904607425947,0.06892619805282996,-0.06704798277969737,0.02699244856424854,seasonal_naive
20,-0.001400925402158817,0.03820528052079285,-0.03666837104877105,0.5,0.9902912621359223,102,10.0,20,6,6,1.0,-0.0006848839325693153,0.04891486790161815,-0.049700569512637474,0.3333333333333333,-0.011064867746606866,-0.023094866404206327,0.11599102963156538,-0.0026825148495880726,0.048817087080682865,-0.19505430764375517,-0.02286703669190704,-0.04741728871578599,0.12303839858601362,-0.000275500732246832,0.03309794994677233,-0.12440115831378781,0.5058333333333334,0.99,5.1,-0.003498558832576487,0.009461494609875009,0.07159732172170363,-0.002253960006283043,0.03303975495125448,-0.35261756797016186,-0.013595663902486427,-0.015447770728081355,0.07565776680203469,-0.16415552673058376,0.17399380164006972,-0.174130678147283,0.16230655271172956,seasonal_naive
30,0.0036155995031258146,0.05581774101168463,0.06477509547312102,0.5490196078431373,0.9902912621359223,102,10.0,30,4,4,1.0,0.0030832824874029267,0.0598206325367832,0.14938326876570532,0.5,0.005216256995178359,0.010985571932094373,0.10874395884954136,0.0010781190057106982,0.059701051092342264,0.05233887311235255,-0.002797383227388539,-0.00586546733820803,0.11230363904202934,0.004170690262336134,0.040884736849807174,1.1367298461801474,0.5444444444444444,0.9888888888888888,3.4,0.019048101317219266,0.06362881493173339,0.05834363716234488,0.0021855641636128677,0.040782737075593,0.9612977387378335,0.012115611248576826,0.046113658953912125,0.06060066923924282,-0.14508713437162168,0.2503194474324544,-0.15020380495784624,0.24035183086708622,seasonal_naive
1,0.0013098036282632537,0.01160042997523669,0.1129099206718438,0.49514563106796117,1.0,103,10.0,1,103,103,1.0,0.0013781419268604224,0.011643800015601962,1.8788818795951512,0.49514563106796117,0.14443352170334278,0.39106621509697015,0.06653596971187248,-0.0006236129788513543,0.011620524059370767,-0.8519021248765641,-0.06871813740548627,-0.15985573160605027,0.12389965894638322,0.0013781419268604224,0.011643800015601962,1.8788818795951512,0.49514563106796117,1.0,103.0,0.14443352170334278,0.39106621509697015,0.06653596971187248,-0.0006236129788513543,0.011620524059370767,-0.8519021248765641,-0.06871813740548627,-0.15985573160605027,0.12389965894638322,0.14443352170334278,0.14443352170334278,-0.06871813740548627,-0.06871813740548627,linear_ridge
5,-0.003989852092328291,0.02143690316780449,-0.18612073120340178,0.4368932038834951,1.0,103,10.0,5,21,21,1.0,-0.0023455705803230153,0.01974603454087693,-0.8433034589110545,0.5238095238095238,-0.05204454654668067,-0.12038823312581848,0.08903945325912277,-0.004339881784732933,0.01970656221782972,-1.5634438886233122,-0.09105326317169549,-0.20477093717351225,0.11889529570207458,-0.0037575076380345794,0.021205010881406507,-1.2602123801680551,0.4366666666666667,1.0,20.6,-0.07873699151451612,-0.181412526566121,0.11648350730051157,-0.005748996380266115,0.021162622064654586,-1.9367555564795325,-0.11594078956730802,-0.25994106280135887,0.13811598747558415,-0.09644982171261829,-0.05204454654668067,-0.13363124488276268,-0.09105326317169549,linear_ridge
