model,subset,n_samples,mse_path,rmse_path,mae_path,mape_path
naive_persistence,full,103,7.736114501953125,2.7813870906829834,2.1805436611175537,2.7883725240826607
seasonal_naive,full,103,8.71242891903364,2.9516823878990843,2.353637626178828,3.010581771986593
linear_ridge,full,103,7.40046579682379,2.7203797155588023,2.103214296013792,2.685369113044657
linear_lasso,full,103,17.142476138367858,4.140347345135171,3.616392057844736,4.6237073139484295
tsm,full,103,4.202436447143555,2.0499844551086426,1.6088528633117676,2.0674489438533783
TSM+LLM-COT-RF-HDELTA,llm_subset,103,3.8898588518921797,1.97227250954126,1.546298305594024,1.9906278427964115
naive_persistence_llm_subset,llm_subset,103,7.736114501953125,2.7813870906829834,2.1805436611175537,2.7883725240826607
seasonal_naive_llm_subset,llm_subset,103,8.71242891903364,2.9516823878990843,2.353637626178828,3.010581771986593
linear_ridge_llm_subset,llm_subset,103,7.40046579682379,2.7203797155588023,2.103214296013792,2.685369113044657
linear_lasso_llm_subset,llm_subset,103,17.142476138367858,4.140347345135171,3.616392057844736,4.6237073139484295
tsm_llm_subset,llm_subset,103,4.202436447143555,2.0499844551086426,1.6088528633117676,2.0674489438533783
