horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,transaction_cost_bps,offset_count_non_overlap,n_periods,n_trades_non_overlap,trade_rate_non_overlap,mean_return_non_overlap,volatility_non_overlap,sharpe_non_overlap,hit_rate_non_overlap,total_return_non_overlap,annualized_return_non_overlap,max_drawdown_non_overlap,mean_return_non_overlap_cost_adj,volatility_non_overlap_cost_adj,sharpe_non_overlap_cost_adj,total_return_non_overlap_cost_adj,annualized_return_non_overlap_cost_adj,max_drawdown_non_overlap_cost_adj,mean_return_non_overlap_offset_avg,volatility_non_overlap_offset_avg,sharpe_non_overlap_offset_avg,hit_rate_non_overlap_offset_avg,trade_rate_non_overlap_offset_avg,n_trades_non_overlap_offset_avg,total_return_non_overlap_offset_avg,annualized_return_non_overlap_offset_avg,max_drawdown_non_overlap_offset_avg,mean_return_non_overlap_cost_adj_offset_avg,volatility_non_overlap_cost_adj_offset_avg,sharpe_non_overlap_cost_adj_offset_avg,total_return_non_overlap_cost_adj_offset_avg,annualized_return_non_overlap_cost_adj_offset_avg,max_drawdown_non_overlap_cost_adj_offset_avg,total_return_non_overlap_offset_min,total_return_non_overlap_offset_max,total_return_non_overlap_cost_adj_offset_min,total_return_non_overlap_cost_adj_offset_max,model
5,0.005370847651199119,0.05960284972456147,0.09011058491362486,0.5602836879432624,0.9657534246575342,141,0.0,5,30,27,0.9,0.022047682300163747,0.04894321675757739,3.1980533237020943,0.7037037037037037,0.8595326571073061,1.8352959695978326,0.07927751514312364,0.022047682300163747,0.04894321675757739,3.1980533237020943,0.8595326571073061,1.8352959695978326,0.07927751514312364,0.007066204542330909,0.059019805799190486,0.9267652405253545,0.5619230067505929,0.9662068965517241,28.2,0.21588753692768153,0.45762844803802877,0.1960800162018034,0.007066204542330909,0.059019805799190486,0.9267652405253545,0.21588753692768153,0.45762844803802877,0.1960800162018034,-0.21448846851546322,0.8595326571073061,-0.21448846851546322,0.8595326571073061,seasonal_naive_llm_subset
20,0.00721078737453902,0.12511023739348992,0.057635470324143366,0.5531914893617021,0.9657534246575342,141,0.0,20,8,7,0.875,0.01600180700077563,0.13380733920925073,0.4244967463659382,0.42857142857142855,0.05983891303746036,0.09585421174271791,0.19412670136624488,0.01600180700077563,0.13380733920925073,0.4244967463659382,0.05983891303746036,0.09585421174271791,0.19412670136624488,0.015908160032631312,0.11945992719317186,0.4938310306245052,0.5574404761904761,0.9660714285714287,7.05,0.08430590725808405,0.2034662629460128,0.23082881663693514,0.015908160032631312,0.11945992719317186,0.4938310306245052,0.08430590725808405,0.2034662629460128,0.23082881663693514,-0.30709581892999516,0.6114082678110804,-0.30709581892999516,0.6114082678110804,seasonal_naive_llm_subset
30,0.014612132447376235,0.1514230317237604,0.09649874448447848,0.524822695035461,0.9657534246575342,141,0.0,30,5,5,1.0,0.025999048843510748,0.15872702425429688,0.47472950948829473,0.6,0.06610959875189315,0.11354331225475778,0.23824648571164242,0.025999048843510748,0.15872702425429688,0.47472950948829473,0.06610959875189315,0.11354331225475778,0.23824648571164242,0.025567276784427086,0.1347260729092746,0.6668133974734733,0.5261111111111111,0.9650000000000001,4.7,0.12938315730292965,0.29811080759324027,0.20244834245520021,0.025567276784427086,0.1347260729092746,0.6668133974734733,0.12938315730292965,0.29811080759324027,0.20244834245520021,-0.4535300629367468,1.157144164905767,-0.4535300629367468,1.157144164905767,seasonal_naive_llm_subset
1,0.004436643892254884,0.04505550837520061,0.09847062106831972,0.4726027397260274,1.0,146,0.0,1,146,146,1.0,0.005494497120220633,0.04725607755115969,1.8457401095628105,0.4726027397260274,0.911235723031262,2.0588354170111547,0.2467439054033156,0.005494497120220633,0.04725607755115969,1.8457401095628105,0.911235723031262,2.0588354170111547,0.2467439054033156,0.005494497120220633,0.04725607755115969,1.8457401095628105,0.4726027397260274,1.0,146.0,0.911235723031262,2.0588354170111547,0.2467439054033156,0.005494497120220633,0.04725607755115969,1.8457401095628105,0.911235723031262,2.0588354170111547,0.2467439054033156,0.911235723031262,0.911235723031262,0.911235723031262,0.911235723031262,linear_ridge_llm_subset
5,0.0026816795580089092,0.061073215637309136,0.04390925760212784,0.5684931506849316,1.0,146,0.0,5,30,30,1.0,-0.011796168822417913,0.055368448607512236,-1.5124948083635077,0.4666666666666667,-0.3323887801109233,-0.49277611857134485,0.40781404177381764,-0.011796168822417913,0.055368448607512236,-1.5124948083635077,-0.3323887801109233,-0.49277611857134485,0.40781404177381764,0.00465398185631552,0.05935585941149203,0.5262804082341302,0.5691954022988506,1.0,29.2,0.1556514287796807,0.4030510918284061,0.28347675968547115,0.00465398185631552,0.05935585941149203,0.5262804082341302,0.1556514287796807,0.4030510918284061,0.28347675968547115,-0.3323887801109233,0.9195674761827071,-0.3323887801109233,0.9195674761827071,linear_ridge_llm_subset
20,-0.040060237380165654,0.1211369669318852,-0.33070200117104925,0.3356164383561644,1.0,146,0.0,20,8,8,1.0,-0.03756404399272799,0.1265599860292474,-1.053564660723742,0.375,-0.31086102453192277,-0.44366903862740525,0.4174697977292704,-0.03756404399272799,0.1265599860292474,-1.053564660723742,-0.31086102453192277,-0.44366903862740525,0.4174697977292704,-0.03210931809342431,0.12131492414961997,-0.9556576646117195,0.3348214285714286,1.0,7.3,-0.2523835751609427,-0.3941951813462824,0.3260242743419627,-0.03210931809342431,0.12131492414961997,-0.9556576646117195,-0.2523835751609427,-0.3941951813462824,0.3260242743419627,-0.31086102453192277,-0.15131865493750962,-0.31086102453192277,-0.15131865493750962,linear_ridge_llm_subset
30,-0.05438288208735112,0.1475059401995624,-0.3686826578900885,0.3287671232876712,1.0,146,0.0,30,5,5,1.0,-0.034750943684677044,0.153851890430868,-0.6546413122516047,0.2,-0.21251425650698674,-0.3305968738052075,0.33449772718967674,-0.034750943684677044,0.153851890430868,-0.6546413122516047,-0.21251425650698674,-0.3305968738052075,0.33449772718967674,-0.04201096402068854,0.14201131816037968,-0.9082331369187481,0.3266666666666666,1.0,4.866666666666666,-0.2285862491522672,-0.3563647160805888,0.3173305252742198,-0.04201096402068854,0.14201131816037968,-0.9082331369187481,-0.2285862491522672,-0.3563647160805888,0.3173305252742198,-0.3762096368082445,-0.11313418154689758,-0.3762096368082445,-0.11313418154689758,linear_ridge_llm_subset
1,0.0011912272431351856,0.045257746537246714,0.026320957941527567,0.5,1.0,146,0.0,1,146,146,1.0,0.002220924774437746,0.045698827736825355,0.7714877940743472,0.5,0.18995938643848187,0.35011431314617214,0.26486740294908984,0.002220924774437746,0.045698827736825355,0.7714877940743472,0.18995938643848187,0.35011431314617214,0.26486740294908984,0.002220924774437746,0.045698827736825355,0.7714877940743472,0.5,1.0,146.0,0.18995938643848187,0.35011431314617214,0.26486740294908984,0.002220924774437746,0.045698827736825355,0.7714877940743472,0.18995938643848187,0.35011431314617214,0.26486740294908984,0.18995938643848187,0.18995938643848187,0.18995938643848187,0.18995938643848187,linear_lasso_llm_subset
5,0.0065112387161855015,0.06078431412719856,0.10712037817124898,0.6301369863013698,1.0,146,0.0,5,30,30,1.0,0.00965298130606587,0.05669925820844892,1.2086466600639587,0.6666666666666666,0.26986424463822867,0.49386810741236786,0.21101023575568978,0.00965298130606587,0.05669925820844892,1.2086466600639587,0.26986424463822867,0.49386810741236786,0.21101023575568978,0.00835683200178099,0.05996113935989854,0.9919320521086025,0.6298850574712643,1.0,29.2,0.20993068634777826,0.38923957412966476,0.22130886783455123,0.00835683200178099,0.05996113935989854,0.9919320521086025,0.20993068634777826,0.38923957412966476,0.22130886783455123,0.17842550604669527,0.26986424463822867,0.17842550604669527,0.26986424463822867,linear_lasso_llm_subset
20,-0.040060237380165654,0.1211369669318852,-0.33070200117104925,0.3356164383561644,1.0,146,0.0,20,8,8,1.0,-0.03756404399272799,0.1265599860292474,-1.053564660723742,0.375,-0.31086102453192277,-0.44366903862740525,0.4174697977292704,-0.03756404399272799,0.1265599860292474,-1.053564660723742,-0.31086102453192277,-0.44366903862740525,0.4174697977292704,-0.03210931809342431,0.12131492414961997,-0.9556576646117195,0.3348214285714286,1.0,7.3,-0.2523835751609427,-0.3941951813462824,0.3260242743419627,-0.03210931809342431,0.12131492414961997,-0.9556576646117195,-0.2523835751609427,-0.3941951813462824,0.3260242743419627,-0.31086102453192277,-0.15131865493750962,-0.31086102453192277,-0.15131865493750962,linear_lasso_llm_subset
30,-0.05438288208735112,0.1475059401995624,-0.3686826578900885,0.3287671232876712,1.0,146,0.0,30,5,5,1.0,-0.034750943684677044,0.153851890430868,-0.6546413122516047,0.2,-0.21251425650698674,-0.3305968738052075,0.33449772718967674,-0.034750943684677044,0.153851890430868,-0.6546413122516047,-0.21251425650698674,-0.3305968738052075,0.33449772718967674,-0.04201096402068854,0.14201131816037968,-0.9082331369187481,0.3266666666666666,1.0,4.866666666666666,-0.2285862491522672,-0.3563647160805888,0.3173305252742198,-0.04201096402068854,0.14201131816037968,-0.9082331369187481,-0.2285862491522672,-0.3563647160805888,0.3173305252742198,-0.3762096368082445,-0.11313418154689758,-0.3762096368082445,-0.11313418154689758,linear_lasso_llm_subset
1,0.012083560811620436,0.04363106922923532,0.27694853747759535,0.6232876712328768,1.0,146,0.0,1,146,146,1.0,0.013143667492286359,0.04587040838953381,4.548667873798335,0.6232876712328768,4.836900259800935,20.011235627530052,0.19022555366617577,0.013143667492286359,0.04587040838953381,4.548667873798335,4.836900259800935,20.011235627530052,0.19022555366617577,0.013143667492286359,0.04587040838953381,4.548667873798335,0.6232876712328768,1.0,146.0,4.836900259800935,20.011235627530052,0.19022555366617577,0.013143667492286359,0.04587040838953381,4.548667873798335,4.836900259800935,20.011235627530052,0.19022555366617577,4.836900259800935,4.836900259800935,4.836900259800935,4.836900259800935,tsm_llm_subset
5,-0.0010774428701053743,0.06112256694867096,-0.017627578877866517,0.4589041095890411,1.0,146,0.0,5,30,30,1.0,-0.0012678848755760586,0.058357783956830174,-0.15423974464641177,0.4666666666666667,-0.08534603306517163,-0.13918175860847304,0.3124231053425277,-0.0012678848755760586,0.058357783956830174,-0.15423974464641177,-0.08534603306517163,-0.13918175860847304,0.3124231053425277,0.0008162407247746089,0.06149139032531714,0.06870821954964075,0.4588505747126437,1.0,29.2,-0.020153858744403653,-0.020277370674675277,0.27949403829575503,0.0008162407247746089,0.06149139032531714,0.06870821954964075,-0.020153858744403653,-0.020277370674675277,0.27949403829575503,-0.22911155970068686,0.19793126300055275,-0.22911155970068686,0.19793126300055275,tsm_llm_subset
20,-0.030412135286932835,0.12391161932482832,-0.24543408804309863,0.4246575342465753,1.0,146,0.0,20,8,8,1.0,-0.03756404399272799,0.1265599860292474,-1.053564660723742,0.375,-0.31086102453192277,-0.44366903862740525,0.4174697977292704,-0.03756404399272799,0.1265599860292474,-1.053564660723742,-0.31086102453192277,-0.44366903862740525,0.4174697977292704,-0.021718213466177232,0.11485876326530657,-0.9070963702940776,0.4267857142857143,1.0,7.3,-0.16865016507710456,-0.23464671589115307,0.3100919942519818,-0.021718213466177232,0.11485876326530657,-0.9070963702940776,-0.16865016507710456,-0.23464671589115307,0.3100919942519818,-0.5506214849391007,0.28197809427327747,-0.5506214849391007,0.28197809427327747,tsm_llm_subset
30,-0.029812073048000057,0.1543591285245687,-0.193134499611113,0.3835616438356164,1.0,146,0.0,30,5,5,1.0,-0.034750943684677044,0.153851890430868,-0.6546413122516047,0.2,-0.21251425650698674,-0.3305968738052075,0.33449772718967674,-0.034750943684677044,0.153851890430868,-0.6546413122516047,-0.21251425650698674,-0.3305968738052075,0.33449772718967674,-0.016015469116992254,0.13816541470749746,-0.5233305470724575,0.385,1.0,4.866666666666666,-0.0931931881734077,-0.09538710873526665,0.2698193975665838,-0.016015469116992254,0.13816541470749746,-0.5233305470724575,-0.0931931881734077,-0.09538710873526665,0.2698193975665838,-0.5181244850057871,0.46661269730923793,-0.5181244850057871,0.46661269730923793,tsm_llm_subset
