horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.4041095890410959,0.0,0.0,1.0,41,46,59,naive_persistence,full,146
5,0.1917808219178082,0.0,0.0,1.0,66,52,28,naive_persistence,full,146
20,0.1095890410958904,0.0,0.0,1.0,69,61,16,naive_persistence,full,146
30,0.07534246575342465,0.0,0.0,1.0,71,64,11,naive_persistence,full,146
1,0.410958904109589,0.4878048780487805,0.6086956521739131,0.2033898305084746,41,46,59,seasonal_naive,full,146
5,0.1917808219178082,0.0,0.0,1.0,66,52,28,seasonal_naive,full,146
20,0.1095890410958904,0.0,0.0,1.0,69,61,16,seasonal_naive,full,146
30,0.07534246575342465,0.0,0.0,1.0,71,64,11,seasonal_naive,full,146
1,0.2671232876712329,0.8048780487804879,0.0,0.1016949152542373,41,46,59,linear_ridge,full,146
5,0.4520547945205479,1.0,0.0,0.0,66,52,28,linear_ridge,full,146
20,0.4726027397260274,1.0,0.0,0.0,69,61,16,linear_ridge,full,146
30,0.4863013698630137,1.0,0.0,0.0,71,64,11,linear_ridge,full,146
1,0.2808219178082192,1.0,0.0,0.0,41,46,59,linear_lasso,full,146
5,0.4520547945205479,1.0,0.0,0.0,66,52,28,linear_lasso,full,146
20,0.4726027397260274,1.0,0.0,0.0,69,61,16,linear_lasso,full,146
30,0.4863013698630137,1.0,0.0,0.0,71,64,11,linear_lasso,full,146
1,0.3904109589041096,0.0975609756097561,0.06521739130434782,0.847457627118644,41,46,59,tsm,full,146
5,0.3219178082191781,0.3181818181818182,0.19230769230769232,0.5714285714285714,66,52,28,tsm,full,146
20,0.4452054794520548,0.7681159420289855,0.16393442622950818,0.125,69,61,16,tsm,full,146
30,0.4726027397260274,0.7605633802816901,0.203125,0.18181818181818182,71,64,11,tsm,full,146
1,0.4178082191780822,0.04878048780487805,0.34782608695652173,0.7288135593220338,41,46,59,TSM+LLM-COT-SENT-RF,llm_subset,146
5,0.3493150684931507,0.2878787878787879,0.4423076923076923,0.32142857142857145,66,52,28,TSM+LLM-COT-SENT-RF,llm_subset,146
20,0.4726027397260274,0.6811594202898551,0.3442622950819672,0.0625,69,61,16,TSM+LLM-COT-SENT-RF,llm_subset,146
30,0.5342465753424658,0.704225352112676,0.421875,0.09090909090909091,71,64,11,TSM+LLM-COT-SENT-RF,llm_subset,146
1,0.4041095890410959,0.0,0.0,1.0,41,46,59,naive_persistence_llm_subset,llm_subset,146
5,0.1917808219178082,0.0,0.0,1.0,66,52,28,naive_persistence_llm_subset,llm_subset,146
20,0.1095890410958904,0.0,0.0,1.0,69,61,16,naive_persistence_llm_subset,llm_subset,146
30,0.07534246575342465,0.0,0.0,1.0,71,64,11,naive_persistence_llm_subset,llm_subset,146
1,0.410958904109589,0.4878048780487805,0.6086956521739131,0.2033898305084746,41,46,59,seasonal_naive_llm_subset,llm_subset,146
5,0.1917808219178082,0.0,0.0,1.0,66,52,28,seasonal_naive_llm_subset,llm_subset,146
20,0.1095890410958904,0.0,0.0,1.0,69,61,16,seasonal_naive_llm_subset,llm_subset,146
30,0.07534246575342465,0.0,0.0,1.0,71,64,11,seasonal_naive_llm_subset,llm_subset,146
1,0.2671232876712329,0.8048780487804879,0.0,0.1016949152542373,41,46,59,linear_ridge_llm_subset,llm_subset,146
5,0.4520547945205479,1.0,0.0,0.0,66,52,28,linear_ridge_llm_subset,llm_subset,146
20,0.4726027397260274,1.0,0.0,0.0,69,61,16,linear_ridge_llm_subset,llm_subset,146
30,0.4863013698630137,1.0,0.0,0.0,71,64,11,linear_ridge_llm_subset,llm_subset,146
1,0.2808219178082192,1.0,0.0,0.0,41,46,59,linear_lasso_llm_subset,llm_subset,146
5,0.4520547945205479,1.0,0.0,0.0,66,52,28,linear_lasso_llm_subset,llm_subset,146
20,0.4726027397260274,1.0,0.0,0.0,69,61,16,linear_lasso_llm_subset,llm_subset,146
30,0.4863013698630137,1.0,0.0,0.0,71,64,11,linear_lasso_llm_subset,llm_subset,146
1,0.3904109589041096,0.0975609756097561,0.06521739130434782,0.847457627118644,41,46,59,tsm_llm_subset,llm_subset,146
5,0.3219178082191781,0.3181818181818182,0.19230769230769232,0.5714285714285714,66,52,28,tsm_llm_subset,llm_subset,146
20,0.4452054794520548,0.7681159420289855,0.16393442622950818,0.125,69,61,16,tsm_llm_subset,llm_subset,146
30,0.4726027397260274,0.7605633802816901,0.203125,0.18181818181818182,71,64,11,tsm_llm_subset,llm_subset,146
